Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,87964.83,2862.8438,3.364016,1745343873024,29022846976,19841384,2025-03-24,13:49:24
ETH-USD,Ethereum USD,2071.6055,73.5874,3.683013,249917030400,13744154624,120639296,2025-03-24,13:49:24
BNB-USD,BNB USD,633.97156,13.276367,2.1389472,90323738624,1716916480,142472848,2025-03-24,13:49:24
XRP-USD,XRP USD,2.454048,0.055880547,2.330134,142722793472,3211377408,58158112768,2025-03-24,13:49:24
ADA-USD,Cardano USD,0.72836924,0.02033484,2.8720138,25666959360,851692160,35238940672,2025-03-24,13:49:24
SOL-USD,Solana USD,142.37813,10.459839,7.9290266,72803786752,3865009664,511341088,2025-03-24,13:49:24
DOGE-USD,Dogecoin USD,0.1810302,0.009975761,5.8319254,26894505984,1133659264,148563640320,2025-03-24,13:49:24
DOT-USD,Polkadot USD,4.6823,0.23380089,5.255727,7308905472,190036000,1560964736,2025-03-24,13:49:24
MATIC-USD,Polygon USD,0.21823609,0.005908981,2.782965,0,1267171,0,2025-03-24,13:49:24
LTC-USD,Litecoin USD,93.665,1.4766998,1.6018257,7077184512,511372960,75558472,2025-03-24,13:49:24
BCH-USD,Bitcoin Cash USD,332.67853,10.495209,3.2575283,6602505728,234642944,19846504,2025-03-24,13:49:24
LINK-USD,Chainlink USD,15.040525,0.7553606,5.287728,9883128832,398481888,657099968,2025-03-24,13:49:24
XLM-USD,Stellar USD,0.28885037,0.008526206,3.0415568,8884436992,188145136,30757922816,2025-03-24,13:49:24
UNI-USD,UNICORN Token USD,0.00017680525,5.863112e-06,3.4298818,18902,3,106912512,2025-03-24,13:49:24
ETC-USD,Ethereum Classic USD,18.259165,0.6455612,3.6651232,2761603072,104755536,151244752,2025-03-24,13:49:24
FIL-USD,Filecoin USD,3.1238286,0.14521194,4.87515,2017812096,133877168,645941952,2025-03-24,13:49:24
ATOM-USD,Cosmos USD,4.884254,0.1616931,3.4238405,1909421952,146050128,390934208,2025-03-24,13:49:24
VET-USD,VeChain USD,0.026365194,0.0013342034,5.3302007,2267012352,75512736,85985042432,2025-03-24,13:49:24
HBAR-USD,Hedera USD,0.19169813,0.009010255,4.932051,8093379584,219309136,42219401216,2025-03-24,13:49:24
ICP-USD,Internet Computer USD,6.030082,0.24254227,4.1907654,2905352192,59885832,481809696,2025-03-24,13:49:24
EGLD-USD,MultiversX USD,19.050497,0.77485466,4.2398252,533621856,35532076,28010916,2025-03-24,13:49:24
MANA-USD,Decentraland USD,0.27921933,0.017968774,6.8779793,542315200,125660688,1942255232,2025-03-24,13:49:24
SAND-USD,The Sandbox USD,0.2982163,0.015625268,5.5292826,739981120,68029848,2481357056,2025-03-24,13:49:24
AXS-USD,Axie Infinity USD,3.4850464,0.13266754,3.9574134,556915776,24235186,159801552,2025-03-24,13:49:24
THETA-USD,Theta Network USD,0.97160876,0.057265878,6.263065,971608768,25002318,1000000000,2025-03-24,13:49:24
AAVE-USD,Aave USD,191.10844,9.159332,5.0340037,2884104192,242434576,15091453,2025-03-24,13:49:24
FTM-USD,Fantom USD,0.69689536,-0.004967928,-0.70781803,1953840128,46269352,2803634944,2025-03-24,13:49:24
GRT-USD,Golden Ratio Token USD,0.45430142,-0.03135559,-6.45632,0,2312535,0,2025-03-24,13:49:24
FLOW-USD,Flow USD,0.42811286,0.015577912,3.7761438,672593536,22123768,1571065856,2025-03-24,13:49:24
KSM-USD,Kusama USD,18.21254,1.0703049,6.24367,296392576,20576662,16274093,2025-03-24,13:49:24
XTZ-USD,Tezos USD,0.7106825,0.026109636,3.8140042,736251200,16448535,1035977728,2025-03-24,13:49:24
NEO-USD,Neo USD,8.175358,0.1835823,2.2971377,576680192,40413244,70538832,2025-03-24,13:49:24
CHZ-USD,Chiliz USD,0.047330834,0.0021062791,4.657371,448958752,51972668,9485544448,2025-03-24,13:49:24
CAKE-USD,PancakeSwap USD,2.6119273,0.013958216,0.53727823,764677504,213694944,292763712,2025-03-24,13:49:24
ZIL-USD,Zilliqa USD,0.012946208,0.00059807673,4.8434615,254906528,37247356,19689668608,2025-03-24,13:49:24
ENJ-USD,Enjin Coin USD,0.09661874,0.0056317598,6.18963,175697840,17971384,1818465280,2025-03-24,13:49:24
LRC-USD,Loopring USD,0.110602304,0.005181484,4.9150414,151174080,14218741,1366825856,2025-03-24,13:49:24
