Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,83648.086,788.3281,0.95139426,1659308212224,27827863552,19836776,2025-03-14,10:41:56
ETH-USD,Ethereum USD,1908.1296,17.067749,0.9025435,230147506176,13732345856,120614184,2025-03-14,10:41:56
BNB-USD,BNB USD,580.0958,-15.803406,-2.6520224,82649169920,1889029504,142475024,2025-03-14,10:41:56
XRP-USD,XRP USD,2.3114314,-0.025100946,-1.0742815,134314786816,4858164224,58108919808,2025-03-14,10:41:56
ADA-USD,Cardano USD,0.72197044,-0.008188248,-1.1214294,25435473920,1039519936,35230629888,2025-03-14,10:41:56
SOL-USD,Solana USD,126.8438,0.8818054,0.7000528,64634085376,2258862080,509556512,2025-03-14,10:41:56
DOGE-USD,Dogecoin USD,0.17068066,0.0004298836,0.25249472,25333258240,1075980800,148424900608,2025-03-14,10:41:56
DOT-USD,Polkadot USD,4.167568,0.121982574,3.0152006,6491452928,205081200,1557611648,2025-03-14,10:41:56
MATIC-USD,Polygon USD,0.21346353,-0.002847761,-1.3165123,408523040,2955108,1913783680,2025-03-14,10:41:56
LTC-USD,Litecoin USD,90.80914,0.9322052,1.0371985,6861399552,464411488,75558472,2025-03-14,10:41:56
BCH-USD,Bitcoin Cash USD,330.42758,-3.8286133,-1.145409,6556342784,257636496,19841996,2025-03-14,10:41:56
LINK-USD,Chainlink USD,14.152631,0.8391638,6.3031225,9030793216,702123456,638099968,2025-03-14,10:41:56
XLM-USD,Stellar USD,0.27571437,-0.016173124,-5.5408726,8473499648,360880064,30732890112,2025-03-14,10:41:56
UNI-USD,UNICORN Token USD,0.00016749983,8.3509076e-07,0.5010576,17907,3,106912512,2025-03-14,10:41:56
ETC-USD,Ethereum Classic USD,18.134678,0.2239418,1.250332,2740381952,115177632,151112800,2025-03-14,10:41:56
FIL-USD,Filecoin USD,2.843597,0.05170703,1.8520479,1830562688,123831984,643748992,2025-03-14,10:41:56
ATOM-USD,Cosmos USD,4.0526834,0.10833573,2.7466073,1584332544,110011472,390934208,2025-03-14,10:41:56
VET-USD,VeChain USD,0.02407782,-0.0001733005,-0.71461487,2070332288,65791404,85985042432,2025-03-14,10:41:56
