Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,80509.09,-2783.6406,-3.3419962,1597014671360,31592224768,19836450,2025-03-13,18:29:50
ETH-USD,Ethereum USD,1844.6791,-60.53064,-3.1771116,222489870336,18114793472,120611688,2025-03-13,18:29:50
BNB-USD,BNB USD,573.2698,0.026855469,0.0046822,81676664832,2391853312,142475088,2025-03-13,18:29:50
XRP-USD,XRP USD,2.2257626,-0.009960175,-0.44550171,129190600704,5522452480,58043297792,2025-03-13,18:29:50
ADA-USD,Cardano USD,0.6929067,-0.04136938,-5.6340404,24411539456,1176191104,35230629888,2025-03-13,18:29:50
SOL-USD,Solana USD,121.22212,-5.442047,-4.2964416,61754847232,2934308096,509435456,2025-03-13,18:29:50
DOGE-USD,Dogecoin USD,0.16214758,-0.009656042,-5.6203947,24065236992,1454559104,148415643648,2025-03-13,18:29:50
DOT-USD,Polkadot USD,3.8867273,-0.102980375,-2.5811484,6053991936,191227808,1557606528,2025-03-13,18:29:50
MATIC-USD,Polygon USD,0.20674634,-0.008798897,-4.0821586,395667776,4049875,1913783680,2025-03-13,18:29:50
LTC-USD,Litecoin USD,86.53456,-5.2077866,-5.6765313,6538419200,519196000,75558472,2025-03-13,18:29:50
BCH-USD,Bitcoin Cash USD,324.7512,-33.84085,-9.437141,6443620864,304963200,19841716,2025-03-13,18:29:50
LINK-USD,Chainlink USD,12.763869,-0.7345257,-5.441579,8144624128,366489344,638099968,2025-03-13,18:29:50
XLM-USD,Stellar USD,0.26782605,0.009206682,3.559937,8231069696,456477056,30732892160,2025-03-13,18:29:50
UNI-USD,UNICORN Token USD,0.00016162754,-5.679525e-06,-3.3946676,17280,3,106912512,2025-03-13,18:29:50
ETC-USD,Ethereum Classic USD,17.541824,-0.78320694,-4.273976,2650641408,102690472,151104080,2025-03-13,18:29:50
FIL-USD,Filecoin USD,2.6834705,-0.11568713,-4.1329236,1727200768,126563624,643644416,2025-03-13,18:29:50
ATOM-USD,Cosmos USD,3.8210938,-0.10859895,-2.763546,1493796224,109453520,390934208,2025-03-13,18:29:50
VET-USD,VeChain USD,0.023099106,-0.0012991372,-5.324717,1986177536,75610392,85985042432,2025-03-13,18:29:50
HBAR-USD,Hedera USD,0.18502313,-0.014365897,-7.204963,7811228672,405726336,42217582592,2025-03-13,18:29:50
ICP-USD,Internet Computer USD,5.312304,-0.18007803,-3.2786896,2557391616,66892136,481409120,2025-03-13,18:29:50
EGLD-USD,MultiversX USD,17.223553,-1.1907463,-6.4664245,481731296,26609118,27969334,2025-03-13,18:29:50
MANA-USD,Decentraland USD,0.26290298,-0.01423654,-5.1369543,510624672,53998852,1942255232,2025-03-13,18:29:50
SAND-USD,The Sandbox USD,0.26740083,-0.014438212,-5.1228538,660308160,67151328,2469357056,2025-03-13,18:29:50
AXS-USD,Axie Infinity USD,3.069245,-0.12190533,-3.8201072,489253760,30626112,159405248,2025-03-13,18:29:50
THETA-USD,Theta Network USD,0.84545255,-0.056703568,-6.2853384,845452544,30671058,1000000000,2025-03-13,18:29:50
AAVE-USD,Aave USD,160.44371,-13.778473,-7.908565,2420861696,374208000,15088542,2025-03-13,18:29:50
FTM-USD,Fantom USD,0.69689536,-0.004967928,-0.70781803,1953840128,46269352,2803634944,2025-03-13,18:29:50
GRT-USD,Golden Ratio Token USD,0.45430142,-0.03135559,-6.45632,0,2312535,0,2025-03-13,18:29:50
FLOW-USD,Flow USD,0.38547066,-0.015111119,-3.7722938,605031872,30871578,1569592576,2025-03-13,18:29:50
