Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,84136.53,3620.3281,4.496396,1669007933440,29144569856,19836900,2025-03-14,17:25:19
ETH-USD,Ethereum USD,1924.6704,67.37622,3.6276634,232142553088,12804647936,120614184,2025-03-14,17:25:19
BNB-USD,BNB USD,588.4571,9.871948,1.7062165,83840417792,1564991232,142474992,2025-03-14,17:25:19
XRP-USD,XRP USD,2.3466616,0.099536896,4.4295163,136361975808,4432257536,58108919808,2025-03-14,17:25:19
ADA-USD,Cardano USD,0.73513156,0.035230577,5.0336447,25899149312,1016416832,35230629888,2025-03-14,17:25:19
SOL-USD,Solana USD,133.17706,11.275497,9.24967,67881332736,3000911360,509707392,2025-03-14,17:25:19
DOGE-USD,Dogecoin USD,0.1703517,0.0070991963,4.348597,25285107712,1063414208,148428849152,2025-03-14,17:25:19
DOT-USD,Polkadot USD,4.1782513,0.27920294,7.1607924,6508853760,212692176,1557793792,2025-03-14,17:25:19
MATIC-USD,Polygon USD,0.2160191,0.008403137,4.0474424,413413824,8968047,1913783680,2025-03-14,17:25:19
LTC-USD,Litecoin USD,91.324844,4.405922,5.0690107,6900365312,493456864,75558472,2025-03-14,17:25:19
BCH-USD,Bitcoin Cash USD,327.90936,1.6567688,0.5078178,6506412544,270961216,19842106,2025-03-14,17:25:19
LINK-USD,Chainlink USD,13.736912,0.8807907,6.8511415,8876791808,925528128,646200000,2025-03-14,17:25:19
XLM-USD,Stellar USD,0.27292946,0.0026560426,0.9827282,8381086720,309092896,30707888128,2025-03-14,17:25:19
UNI-USD,UNICORN Token USD,0.0001693226,7.730967e-06,4.7842665,18102,3,106912512,2025-03-14,17:25:19
ETC-USD,Ethereum Classic USD,17.995865,0.30820656,1.742495,2719473664,112628688,151116592,2025-03-14,17:25:19
FIL-USD,Filecoin USD,2.8829625,0.18654966,6.9184394,1856288512,121178680,643882304,2025-03-14,17:25:19
ATOM-USD,Cosmos USD,4.2071667,0.35491848,9.213283,1644725248,117800248,390934208,2025-03-14,17:25:19
VET-USD,VeChain USD,0.024675574,0.0014442094,6.2166286,2121730176,56369588,85985042432,2025-03-14,17:25:19
HBAR-USD,Hedera USD,0.1915781,0.005521387,2.9675803,8087964160,312785728,42217582592,2025-03-14,17:25:19
ICP-USD,Internet Computer USD,5.6625223,0.30652905,5.723106,2725959680,57001828,481403840,2025-03-14,17:25:19
EGLD-USD,MultiversX USD,18.016907,0.68922615,3.9775975,503975808,18875714,27972384,2025-03-14,17:25:19
MANA-USD,Decentraland USD,0.27533722,0.011759639,4.4615564,534775168,46917388,1942255232,2025-03-14,17:25:19
SAND-USD,The Sandbox USD,0.2852387,0.016002446,5.9436398,704356224,59791888,2469357056,2025-03-14,17:25:19
AXS-USD,Axie Infinity USD,3.2213693,0.13187718,4.2685766,513611360,23682388,159438832,2025-03-14,17:25:19
THETA-USD,Theta Network USD,0.896651,0.04392445,5.1510625,896651008,24295322,1000000000,2025-03-14,17:25:19
AAVE-USD,Aave USD,173.46947,11.06958,6.8162484,2617416704,330344096,15088630,2025-03-14,17:25:19
FTM-USD,Fantom USD,0.69689536,-0.004967928,-0.70781803,1953840128,46269352,2803634944,2025-03-14,17:25:19
GRT-USD,Golden Ratio Token USD,0.45430142,-0.03135559,-6.45632,0,2312535,0,2025-03-14,17:25:19
FLOW-USD,Flow USD,0.40345514,0.01574111,4.0599866,633260160,24671080,1569592576,2025-03-14,17:25:19
KSM-USD,Kusama USD,16.528101,0.86660576,5.533345,268275296,12626334,16231466,2025-03-14,17:25:19
XTZ-USD,Tezos USD,0.7048234,0.0368312,5.5137124,729176896,23936362,1034552640,2025-03-14,17:25:19
NEO-USD,Neo USD,8.025947,0.43866634,5.7816057,566140864,22878982,70538832,2025-03-14,17:25:19
CHZ-USD,Chiliz USD,0.043812342,0.0015569776,3.6846917,414661024,67709712,9464479744,2025-03-14,17:25:19
CAKE-USD,PancakeSwap USD,1.6256937,0.034137607,2.1449192,479301536,48948104,294828960,2025-03-14,17:25:19
ZIL-USD,Zilliqa USD,0.012229541,0.0005290359,4.521475,240300096,13977032,19649150976,2025-03-14,17:25:19
ENJ-USD,Enjin Coin USD,0.09135243,0.0032997653,3.7474828,165917552,13956102,1816235648,2025-03-14,17:25:19
LRC-USD,Loopring USD,0.10487263,0.0029946417,2.939433,143342624,12885943,1366825856,2025-03-14,17:25:19
BAT-USD,Basic Attention Token USD,0.14960903,0.007205859,5.0601835,223765504,13479516,1495668352,2025-03-14,17:25:19
