Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,80909.09,-2603.961,-3.1180289,1604951474176,31594203136,19836478,2025-03-13,19:31:38
ETH-USD,Ethereum USD,1870.2637,-32.678345,-1.7172515,225575665664,18387296256,120611688,2025-03-13,19:31:38
BNB-USD,BNB USD,575.68524,1.5863647,0.27632648,82020802560,2399526144,142475088,2025-03-13,19:31:38
XRP-USD,XRP USD,2.2405834,0.00744009,0.3331674,130050859008,5532649984,58043297792,2025-03-13,19:31:38
ADA-USD,Cardano USD,0.69999397,-0.033443213,-4.559791,24661229568,1198159872,35230629888,2025-03-13,19:31:38
SOL-USD,Solana USD,122.471985,-3.7258072,-2.9523575,62391566336,2911719168,509435424,2025-03-13,19:31:38
DOGE-USD,Dogecoin USD,0.16383846,-0.0076906234,-4.483567,24316297216,1443340032,148416282624,2025-03-13,19:31:38
DOT-USD,Polkadot USD,3.930769,-0.0408113,-1.0275868,6122593792,191335792,1557607168,2025-03-13,19:31:38
MATIC-USD,Polygon USD,0.20961803,-0.006496027,-3.0058296,401163552,4167824,1913783680,2025-03-13,19:31:38
LTC-USD,Litecoin USD,87.45815,-4.379425,-4.7686615,6608203776,521025696,75558472,2025-03-13,19:31:38
BCH-USD,Bitcoin Cash USD,329.05786,-29.016022,-8.10336,6529080832,303672736,19841740,2025-03-13,19:31:38
LINK-USD,Chainlink USD,12.90168,-0.56979465,-4.229641,8232561664,361093248,638099968,2025-03-13,19:31:38
XLM-USD,Stellar USD,0.26987028,0.011249393,4.3497562,8293894656,463172704,30732892160,2025-03-13,19:31:38
UNI-USD,UNICORN Token USD,0.00016244744,-5.165668e-06,-3.081898,17367,3,106912512,2025-03-13,19:31:38
ETC-USD,Ethereum Classic USD,17.83442,-0.2662182,-1.4707704,2694864384,103251360,151104688,2025-03-13,19:31:38
FIL-USD,Filecoin USD,2.7127633,-0.08774185,-3.1330736,1746054784,127767536,643644416,2025-03-13,19:31:38
ATOM-USD,Cosmos USD,3.871199,-0.048691034,-1.2421556,1513384064,110027648,390934208,2025-03-13,19:31:38
VET-USD,VeChain USD,0.02339896,-0.0008853264,-3.6456747,2011960576,76395480,85985042432,2025-03-13,19:31:38
HBAR-USD,Hedera USD,0.18875973,-0.0113752335,-5.68378,7968978944,414574272,42217582592,2025-03-13,19:31:38
ICP-USD,Internet Computer USD,5.3644433,-0.122378826,-2.2304125,2582489344,66804788,481408672,2025-03-13,19:31:38
EGLD-USD,MultiversX USD,17.419418,-0.9870529,-5.3625336,487209504,27384148,27969334,2025-03-13,19:31:38
MANA-USD,Decentraland USD,0.26717103,-0.0072626173,-2.6464024,518914336,53555288,1942255232,2025-03-13,19:31:38
SAND-USD,The Sandbox USD,0.27072817,-0.009912223,-3.5320017,668524544,68540232,2469357056,2025-03-13,19:31:38
AXS-USD,Axie Infinity USD,3.117402,-0.0709703,-2.225913,496932736,29204256,159406048,2025-03-13,19:31:38
THETA-USD,Theta Network USD,0.85642654,-0.042322516,-4.709048,856426496,31418448,1000000000,2025-03-13,19:31:38
AAVE-USD,Aave USD,162.10172,-11.878647,-6.8275833,2445878784,374336544,15088543,2025-03-13,19:31:38
FTM-USD,Fantom USD,0.69689536,-0.004967928,-0.70781803,1953840128,46269352,2803634944,2025-03-13,19:31:38
GRT-USD,Golden Ratio Token USD,0.45430142,-0.03135559,-6.45632,0,2312535,0,2025-03-13,19:31:38
FLOW-USD,Flow USD,0.39033753,-0.010219693,-2.5513718,612670912,31270532,1569592576,2025-03-13,19:31:38
KSM-USD,Kusama USD,15.728733,-0.32925034,-2.0503871,255233968,14755478,16227243,2025-03-13,19:31:38
XTZ-USD,Tezos USD,0.6704015,-0.01872611,-2.717363,693516736,28166154,1034479744,2025-03-13,19:31:38
NEO-USD,Neo USD,7.632274,-0.2754526,-3.4833398,538371712,27106264,70538832,2025-03-13,19:31:38
