Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,85020.01,969.7578,1.1537787,1686867410944,10631778304,19840828,2025-03-23,11:47:31
ETH-USD,Ethereum USD,2011.7377,25.575806,1.287696,242689572864,6880033280,120636792,2025-03-23,11:47:31
BNB-USD,BNB USD,622.7984,-2.8864136,-0.46131784,88731983872,1194664832,142473056,2025-03-23,11:47:31
XRP-USD,XRP USD,2.4143004,0.040995598,1.7273668,140411158528,1936339840,58158112768,2025-03-23,11:47:31
ADA-USD,Cardano USD,0.7100337,0.007530153,1.0719029,25020835840,513756960,35238940672,2025-03-23,11:47:31
SOL-USD,Solana USD,132.8082,3.591919,2.7797692,67814137856,1515124864,510617088,2025-03-23,11:47:31
DOGE-USD,Dogecoin USD,0.1715995,0.0038588345,2.3004777,25490905088,516158176,148548829184,2025-03-23,11:47:31
DOT-USD,Polkadot USD,4.482526,0.05521059,1.2470425,6993656320,135452224,1560204416,2025-03-23,11:47:31
MATIC-USD,Polygon USD,0.21241409,0.0029196441,1.393667,0,459068,0,2025-03-23,11:47:31
LTC-USD,Litecoin USD,92.38713,1.5075302,1.6588236,6980630016,283389568,75558472,2025-03-23,11:47:31
BCH-USD,Bitcoin Cash USD,324.36478,0.8772888,0.27119654,6437359616,186855984,19846050,2025-03-23,11:47:31
LINK-USD,Chainlink USD,14.44367,0.26857758,1.8947072,9490934784,217353936,657099968,2025-03-23,11:47:31
XLM-USD,Stellar USD,0.28194293,0.006923437,2.5174425,8671980544,152460208,30757928960,2025-03-23,11:47:31
UNI-USD,UNICORN Token USD,0.0001708408,1.7910497e-06,1.0594808,18265,3,106912512,2025-03-23,11:47:31
ETC-USD,Ethereum Classic USD,17.688684,-0.1921997,-1.0748934,2675075584,75342080,151230880,2025-03-23,11:47:31
FIL-USD,Filecoin USD,3.0088515,0.032340765,1.0865327,1943123072,76339264,645802240,2025-03-23,11:47:31
ATOM-USD,Cosmos USD,4.763209,0.0007009506,0.01472149,1862101248,141106848,390934208,2025-03-23,11:47:31
VET-USD,VeChain USD,0.025257798,-3.253296e-05,-0.12863912,2171792896,43672484,85985042432,2025-03-23,11:47:31
HBAR-USD,Hedera USD,0.18415222,0.00156492,0.8570813,7774795776,155223824,42219401216,2025-03-23,11:47:31
ICP-USD,Internet Computer USD,5.83415,0.11919546,2.0856721,2810856704,43079200,481793728,2025-03-23,11:47:31
EGLD-USD,MultiversX USD,18.40133,0.3550949,1.9676957,515381920,31959008,28007860,2025-03-23,11:47:31
MANA-USD,Decentraland USD,0.2636427,0.0020101368,0.7683003,512061408,42360008,1942255232,2025-03-23,11:47:31
SAND-USD,The Sandbox USD,0.28529388,0.00337556,1.197355,707915968,42356120,2481357056,2025-03-23,11:47:31
AXS-USD,Axie Infinity USD,3.3787065,0.011988878,0.35610572,539607808,17164262,159708400,2025-03-23,11:47:31
THETA-USD,Theta Network USD,0.91512716,-0.010945618,-1.181939,915127168,12892696,1000000000,2025-03-23,11:47:31
AAVE-USD,Aave USD,185.03043,5.230072,2.90883,2792327936,156831088,15091183,2025-03-23,11:47:31
FTM-USD,Fantom USD,0.69689536,-0.004967928,-0.70781803,1953840128,46269352,2803634944,2025-03-23,11:47:31
GRT-USD,Golden Ratio Token USD,0.45430142,-0.03135559,-6.45632,0,2312535,0,2025-03-23,11:47:31
FLOW-USD,Flow USD,0.41548672,-0.0020537972,-0.49188408,652756992,15808268,1571065856,2025-03-23,11:47:31
KSM-USD,Kusama USD,17.220232,0.37366295,2.2180371,280163456,10303784,16269435,2025-03-23,11:47:31
XTZ-USD,Tezos USD,0.6841778,-0.012818038,-1.8390418,708733376,14616684,1035890560,2025-03-23,11:47:31
NEO-USD,Neo USD,8.098016,-0.0045833588,-0.05656279,571224576,12545310,70538832,2025-03-23,11:47:31
CHZ-USD,Chiliz USD,0.045474805,-0.00047319755,-1.0298524,431248480,36756680,9483240448,2025-03-23,11:47:31
CAKE-USD,PancakeSwap USD,2.6029382,-0.10927415,-4.0289655,785970240,213622240,301955008,2025-03-23,11:47:31
ZIL-USD,Zilliqa USD,0.012405599,-9.594858e-05,-0.76749367,244204416,10916698,19685017600,2025-03-23,11:47:31
ENJ-USD,Enjin Coin USD,0.09111317,0.000330925,0.36453047,165663552,13910359,1818217344,2025-03-23,11:47:31
LRC-USD,Loopring USD,0.10620627,-0.00012332201,-0.11598062,145165472,10055675,1366825856,2025-03-23,11:47:31
BAT-USD,Basic Attention Token USD,0.14862797,-0.0011916608,-0.79540193,222298144,10873696,1495668352,2025-03-23,11:47:31
DASH-USD,Dash USD,23.17136,-0.022098541,-0.09527799,282403584,38134172,12187613,2025-03-23,11:47:31
CRV-USD,Curve DAO Token USD,0.50220823,0.035984755,7.7183547,655554688,137820608,1305344512,2025-03-23,11:47:31
RUNE-USD,THORChain USD,1.2648021,0.018951178,1.5211474,444890496,87494776,351747136,2025-03-23,11:47:31
1INCH-USD,1inch Network USD,0.21130095,0.0032276511,1.5512133,291109952,16236229,1377703040,2025-03-23,11:47:31
CELO-USD,Celo USD,0.37878698,0.008772433,2.3708396,214116160,17502828,565268032,2025-03-23,11:47:31
XEM-USD,NEM USD,0.019306177,0.00015847571,0.8276416,173755584,22174764,8999999488,2025-03-23,11:47:31
QTUM-USD,Qtum USD,2.1490734,0.0060539246,0.28248438,226882992,39345128,105572464,2025-03-23,11:47:31
ONT-USD,Ontology USD,0.14966784,-0.00066041946,-0.4393203,136751200,5578283,913697856,2025-03-23,11:47:31
OMG-USD,OMG Network USD,0.21524687,-0.00031639636,-0.14677893,30187384,9984095,140245392,2025-03-23,11:47:31
YFI-USD,yearn.finance USD,5135.0615,-12.213867,-0.23729274,173306608,20826628,33749,2025-03-23,11:47:31
ICX-USD,ICON USD,0.10100251,-0.0010493398,-1.028237,106628928,1951122,1055705792,2025-03-23,11:47:31
