Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,84335.72,3314.2031,4.0905266,1672961851392,29710022656,19836932,2025-03-14,19:47:01
ETH-USD,Ethereum USD,1925.7926,51.598267,2.753094,232277901312,12480086016,120614184,2025-03-14,19:47:01
BNB-USD,BNB USD,586.67456,10.604187,1.8407848,83586449408,1550985984,142474992,2025-03-14,19:47:01
XRP-USD,XRP USD,2.3562655,0.10766125,4.787907,136920047616,4358264320,58108919808,2025-03-14,19:47:01
ADA-USD,Cardano USD,0.7406769,0.038757324,5.521624,26094512128,1011703296,35230629888,2025-03-14,19:47:01
SOL-USD,Solana USD,134.7343,12.0892105,9.857069,68675018752,3111594752,509707040,2025-03-14,19:47:01
DOGE-USD,Dogecoin USD,0.17244661,0.008102074,4.9299345,25596252160,1052449408,148430012416,2025-03-14,19:47:01
DOT-USD,Polkadot USD,4.2023044,0.2578547,6.537157,6546439168,217401408,1557821312,2025-03-14,19:47:01
MATIC-USD,Polygon USD,0.21614277,0.0057502836,2.7331245,413650528,14849517,1913783680,2025-03-14,19:47:01
LTC-USD,Litecoin USD,91.42286,3.6653976,4.1767383,6907770880,492835072,75558472,2025-03-14,19:47:01
BCH-USD,Bitcoin Cash USD,328.77615,-0.35662842,-0.10835407,6523624960,277219072,19842146,2025-03-14,19:47:01
LINK-USD,Chainlink USD,13.819099,0.8619728,6.652501,9080529920,980381952,657099968,2025-03-14,19:47:01
XLM-USD,Stellar USD,0.27587527,0.0032267869,1.1834992,8471546368,303088320,30707888128,2025-03-14,19:47:01
UNI-USD,UNICORN Token USD,0.00016950931,6.624061e-06,4.0667095,18122,3,106912512,2025-03-14,19:47:01
ETC-USD,Ethereum Classic USD,18.069468,0.2215271,1.2411954,2730618112,110878336,151117808,2025-03-14,19:47:01
FIL-USD,Filecoin USD,2.9007657,0.1765573,6.4810534,1867792128,119738200,643896256,2025-03-14,19:47:01
ATOM-USD,Cosmos USD,4.276791,0.39234138,10.100306,1671943808,124743704,390934208,2025-03-14,19:47:01
VET-USD,VeChain USD,0.024909891,0.0013795365,5.8627963,2141878016,53278688,85985042432,2025-03-14,19:47:01
HBAR-USD,Hedera USD,0.192595,0.0030601472,1.6145576,8130895360,311140416,42217582592,2025-03-14,19:47:01
ICP-USD,Internet Computer USD,5.686951,0.3123603,5.811802,2737703936,57303772,481400992,2025-03-14,19:47:01
EGLD-USD,MultiversX USD,18.120892,0.60570717,3.458177,507083840,17683264,27983384,2025-03-14,19:47:01
