Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,88100.85,2940.3125,3.4526706,1748040941568,27879450624,19841362,2025-03-24,12:56:31
ETH-USD,Ethereum USD,2084.1318,76.85742,3.8289483,251428175872,13469296640,120639296,2025-03-24,12:56:31
BNB-USD,BNB USD,627.09875,5.296631,0.85181814,89344557056,1632205056,142472864,2025-03-24,12:56:31
XRP-USD,XRP USD,2.4727802,0.05826783,2.413241,143812231168,3167788288,58158112768,2025-03-24,12:56:31
ADA-USD,Cardano USD,0.7310337,0.021083355,2.9696982,25760854016,839718656,35238940672,2025-03-24,12:56:31
SOL-USD,Solana USD,142.8412,10.096039,7.605571,73040592896,3817939456,511341184,2025-03-24,12:56:31
DOGE-USD,Dogecoin USD,0.18337823,0.011460975,6.666562,27243237376,1072628288,148563083264,2025-03-24,12:56:31
DOT-USD,Polkadot USD,4.728348,0.264781,5.932046,7379856896,189417760,1560768768,2025-03-24,12:56:31
MATIC-USD,Polygon USD,0.21823609,0.005908981,2.782965,0,1267171,0,2025-03-24,12:56:31
LTC-USD,Litecoin USD,94.02948,1.1941528,1.2863159,7104723456,505840672,75558472,2025-03-24,12:56:31
BCH-USD,Bitcoin Cash USD,331.64246,7.8796997,2.4337914,6581937152,236796400,19846484,2025-03-24,12:56:31
LINK-USD,Chainlink USD,15.12388,0.67252636,4.6537294,9937901568,370436576,657099968,2025-03-24,12:56:31
XLM-USD,Stellar USD,0.29186988,0.009624034,3.4098067,8977310720,185165472,30757922816,2025-03-24,12:56:31
UNI-USD,UNICORN Token USD,0.00017714428,6.043847e-06,3.532333,18938,3,106912512,2025-03-24,12:56:31
ETC-USD,Ethereum Classic USD,18.240654,0.5183754,2.9249961,2758793984,103334296,151244256,2025-03-24,12:56:31
FIL-USD,Filecoin USD,3.1332593,0.12557316,4.175082,2023903616,135072736,645941952,2025-03-24,12:56:31
ATOM-USD,Cosmos USD,4.9406614,0.20153618,4.2525964,1931473664,146030592,390934208,2025-03-24,12:56:31
VET-USD,VeChain USD,0.026537629,0.001349574,5.3579893,2281839104,75730304,85985042432,2025-03-24,12:56:31
HBAR-USD,Hedera USD,0.19213398,0.008181289,4.4474945,8111780864,218202256,42219401216,2025-03-24,12:56:31
ICP-USD,Internet Computer USD,6.027387,0.21403694,3.6818101,2904053504,58856384,481809696,2025-03-24,12:56:31
EGLD-USD,MultiversX USD,19.128841,0.77246857,4.2081704,535816352,36063520,28010916,2025-03-24,12:56:31
MANA-USD,Decentraland USD,0.28158998,0.018959701,7.2191615,546919616,124765464,1942255232,2025-03-24,12:56:31
SAND-USD,The Sandbox USD,0.30004627,0.016419888,5.789266,744521920,67994216,2481357056,2025-03-24,12:56:31
