Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,88086.55,3077.6016,3.6203291,1747757039616,27093006336,19841362,2025-03-24,12:23:29
ETH-USD,Ethereum USD,2082.3677,76.200806,3.7983289,251215380480,13102920704,120639296,2025-03-24,12:23:29
BNB-USD,BNB USD,627.6967,4.8184814,0.773581,89429753856,1629580928,142472864,2025-03-24,12:23:29
XRP-USD,XRP USD,2.4712613,0.064670086,2.6872084,143723888640,3152023808,58158112768,2025-03-24,12:23:29
ADA-USD,Cardano USD,0.7331946,0.024546921,3.4639146,25837000704,834341376,35238940672,2025-03-24,12:23:29
SOL-USD,Solana USD,143.16595,10.603958,7.999237,73206652928,3797291264,511341216,2025-03-24,12:23:29
DOGE-USD,Dogecoin USD,0.18313622,0.011697069,6.8228693,27207223296,1025754496,148562771968,2025-03-24,12:23:29
DOT-USD,Polkadot USD,4.7136526,0.24081182,5.3838773,7356921344,188870112,1560768768,2025-03-24,12:23:29
MATIC-USD,Polygon USD,0.21823609,0.005908981,2.782965,0,1267171,0,2025-03-24,12:23:29
LTC-USD,Litecoin USD,93.805885,1.1608582,1.2530175,7087828992,502457952,75558472,2025-03-24,12:23:29
BCH-USD,Bitcoin Cash USD,330.79672,6.238617,1.9221927,6565147648,233540832,19846472,2025-03-24,12:23:29
LINK-USD,Chainlink USD,15.092723,0.68687916,4.76806,9917427712,367954368,657099968,2025-03-24,12:23:29
XLM-USD,Stellar USD,0.29067975,0.008965045,3.1823153,8940705792,184726768,30757922816,2025-03-24,12:23:29
UNI-USD,UNICORN Token USD,0.00017667733,5.8365695e-06,3.4163792,18889,3,106912512,2025-03-24,12:23:29
ETC-USD,Ethereum Classic USD,18.23919,0.578949,3.2782633,2758572544,104167680,151244256,2025-03-24,12:23:29
FIL-USD,Filecoin USD,3.129826,0.12790084,4.260618,2021686016,134957168,645941952,2025-03-24,12:23:29
ATOM-USD,Cosmos USD,4.91845,0.16038418,3.3707857,1922790272,145726096,390934208,2025-03-24,12:23:29
VET-USD,VeChain USD,0.02651527,0.0013474748,5.3539643,2279916544,76003960,85985042432,2025-03-24,12:23:29
HBAR-USD,Hedera USD,0.1923329,0.008800179,4.7948833,8120179200,216997472,42219401216,2025-03-24,12:23:29
ICP-USD,Internet Computer USD,6.0331907,0.21809673,3.7505233,2906850048,58245900,481809728,2025-03-24,12:23:29
EGLD-USD,MultiversX USD,19.095825,0.79050446,4.3184395,534891520,36145056,28010916,2025-03-24,12:23:29
MANA-USD,Decentraland USD,0.2814605,0.018515617,7.04163,546668096,125403696,1942255232,2025-03-24,12:23:29
SAND-USD,The Sandbox USD,0.30102077,0.01723057,6.07159,746940096,67905416,2481357056,2025-03-24,12:23:29
AXS-USD,Axie Infinity USD,3.515594,0.15208554,4.521638,561787584,23655528,159798784,2025-03-24,12:23:29
THETA-USD,Theta Network USD,0.9794421,0.066192925,7.2480693,979442112,25432448,1000000000,2025-03-24,12:23:29
AAVE-USD,Aave USD,191.76558,8.222183,4.4796953,2894017792,245664752,15091435,2025-03-24,12:23:29
FTM-USD,Fantom USD,0.69689536,-0.004967928,-0.70781803,1953840128,46269352,2803634944,2025-03-24,12:23:29
GRT-USD,Golden Ratio Token USD,0.45430142,-0.03135559,-6.45632,0,2312535,0,2025-03-24,12:23:29
FLOW-USD,Flow USD,0.42839983,0.013435632,3.2377892,673044352,22501528,1571065856,2025-03-24,12:23:29
KSM-USD,Kusama USD,18.262089,1.1116467,6.481746,297196096,20383368,16273939,2025-03-24,12:23:29
