Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,87183.4,1429.7656,1.6672962,1729849458688,34452074496,19841500,2025-03-24,20:37:04
ETH-USD,Ethereum USD,2074.0195,76.34094,3.821481,250208272384,14716406784,120639296,2025-03-24,20:37:04
BNB-USD,BNB USD,634.8366,12.430176,1.9971142,90446954496,1786992256,142472816,2025-03-24,20:37:04
XRP-USD,XRP USD,2.4354436,0.0067944527,0.27976108,141640810496,3294542848,58158112768,2025-03-24,20:37:04
ADA-USD,Cardano USD,0.72713655,0.020606995,2.916651,25623523328,895127552,35238940672,2025-03-24,20:37:04
SOL-USD,Solana USD,140.00294,8.257111,6.2674575,71589167104,4189439744,511340416,2025-03-24,20:37:04
DOGE-USD,Dogecoin USD,0.18227716,0.010361776,6.027257,27080441856,1465252608,148567392256,2025-03-24,20:37:04
DOT-USD,Polkadot USD,4.602429,0.10517168,2.338575,7184453632,202550960,1561013504,2025-03-24,20:37:04
MATIC-USD,Polygon USD,0.21823609,0.005908981,2.782965,0,1267171,0,2025-03-24,20:37:04
LTC-USD,Litecoin USD,93.42058,2.0192566,2.2092273,7058716160,546273856,75558472,2025-03-24,20:37:04
BCH-USD,Bitcoin Cash USD,331.33606,6.1940002,1.9050144,6575909888,231380800,19846646,2025-03-24,20:37:04
LINK-USD,Chainlink USD,15.02055,0.6189079,4.2974806,9870002176,412582496,657099968,2025-03-24,20:37:04
XLM-USD,Stellar USD,0.28792778,0.006287098,2.2323184,8862348288,188634400,30779762688,2025-03-24,20:37:04
UNI-USD,UNICORN Token USD,0.00017510813,2.931003e-06,1.702321,18721,3,106912512,2025-03-24,20:37:04
ETC-USD,Ethereum Classic USD,18.296711,0.56350136,3.1776621,2767348224,107761928,151248384,2025-03-24,20:37:04
FIL-USD,Filecoin USD,3.1095138,0.09931493,3.2992845,2008565376,134248624,645941952,2025-03-24,20:37:04
ATOM-USD,Cosmos USD,4.9247017,0.102469444,2.1249368,1925234432,143258400,390934208,2025-03-24,20:37:04
VET-USD,VeChain USD,0.026113851,0.001114361,4.4575357,2245400576,70494520,85985042432,2025-03-24,20:37:04
HBAR-USD,Hedera USD,0.19215919,0.006769508,3.6514945,8112845824,222123680,42219401216,2025-03-24,20:37:04
ICP-USD,Internet Computer USD,6.017097,0.19949627,3.4291878,2899091712,63654628,481809056,2025-03-24,20:37:04
EGLD-USD,MultiversX USD,19.139069,0.73032,3.9672484,536160384,33706060,28013922,2025-03-24,20:37:04
MANA-USD,Decentraland USD,0.27810898,0.0140245855,5.3106446,540158656,115575160,1942255232,2025-03-24,20:37:04
SAND-USD,The Sandbox USD,0.2981839,0.013744593,4.832172,739900672,69535208,2481357056,2025-03-24,20:37:04
AXS-USD,Axie Infinity USD,3.4870753,0.13326812,3.9736412,557253056,25165252,159805280,2025-03-24,20:37:04
THETA-USD,Theta Network USD,0.97326505,0.057813525,6.3152976,973265088,24265638,1000000000,2025-03-24,20:37:04
AAVE-USD,Aave USD,189.53131,4.6578674,2.5194855,2860306688,224601760,15091474,2025-03-24,20:37:04
FTM-USD,Fantom USD,0.69689536,-0.004967928,-0.70781803,1953840128,46269352,2803634944,2025-03-24,20:37:04
GRT-USD,Golden Ratio Token USD,0.45430142,-0.03135559,-6.45632,0,2312535,0,2025-03-24,20:37:04
FLOW-USD,Flow USD,0.4256838,0.01518327,3.6987226,668777280,23014590,1571065856,2025-03-24,20:37:04
KSM-USD,Kusama USD,18.14942,0.49134445,2.782547,295383968,17789886,16275120,2025-03-24,20:37:04
XTZ-USD,Tezos USD,0.72073925,0.027986705,4.0399303,746685504,18750018,1035999488,2025-03-24,20:37:04
NEO-USD,Neo USD,8.1666,0.11064625,1.3734744,576062400,44427584,70538832,2025-03-24,20:37:04
CHZ-USD,Chiliz USD,0.047514886,0.002335064,5.1683803,450728896,48985084,9486056448,2025-03-24,20:37:04
CAKE-USD,PancakeSwap USD,2.6179368,0.025134325,0.96938884,766599040,231899040,292825632,2025-03-24,20:37:04
ZIL-USD,Zilliqa USD,0.012906945,0.00062049925,5.0502815,254142000,36714244,19690328064,2025-03-24,20:37:04
ENJ-USD,Enjin Coin USD,0.09667779,0.005746275,6.319343,175829200,18969826,1818713600,2025-03-24,20:37:04
LRC-USD,Loopring USD,0.110100046,0.0049531534,4.710702,150487584,19453940,1366825856,2025-03-24,20:37:04
BAT-USD,Basic Attention Token USD,0.15499699,0.0063724965,4.287646,231824096,16989728,1495668352,2025-03-24,20:37:04
DASH-USD,Dash USD,23.80925,0.584465,2.516551,290390336,41008528,12196534,2025-03-24,20:37:04
CRV-USD,Curve DAO Token USD,0.5087226,0.0065516233,1.3046635,664310848,120281216,1305841024,2025-03-24,20:37:04
RUNE-USD,THORChain USD,1.2663958,-0.009138465,-0.71644235,445439136,125385320,351737664,2025-03-24,20:37:04
1INCH-USD,1inch Network USD,0.21508966,0.004894331,2.3284657,296329792,21367890,1377703680,2025-03-24,20:37:04
CELO-USD,Celo USD,0.38722864,0.016849399,4.549225,218887968,18006468,565268032,2025-03-24,20:37:04
XEM-USD,NEM USD,0.019631881,0.00045582093,2.3770368,176686928,21052778,8999999488,2025-03-24,20:37:04
QTUM-USD,Qtum USD,2.2283916,0.07602239,3.532027,235260928,42025900,105574320,2025-03-24,20:37:04
