Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,87635.17,346.14062,0.3965537,1738836148224,32049330176,19841762,2025-03-25,10:29:33
ETH-USD,Ethereum USD,2070.7659,-5.4228516,-0.26118675,249820938240,11864136704,120641816,2025-03-25,10:29:33
BNB-USD,BNB USD,633.6083,8.062134,1.2888185,90271866880,2295240704,142472688,2025-03-25,10:29:33
XRP-USD,XRP USD,2.4486375,0.0010557175,0.04312701,142408122368,2748306688,58158112768,2025-03-25,10:29:33
ADA-USD,Cardano USD,0.7565713,0.030542016,4.206717,26660769792,1048975296,35238940672,2025-03-25,10:29:33
SOL-USD,Solana USD,144.18262,1.4924774,1.0459576,73726287872,3180351488,511339616,2025-03-25,10:29:33
DOGE-USD,Dogecoin USD,0.18721688,0.011419952,6.496106,27815823360,1626118016,148575404032,2025-03-25,10:29:33
DOT-USD,Polkadot USD,4.7071657,0.026088715,0.5573244,7348065280,162112000,1561038208,2025-03-25,10:29:33
MATIC-USD,Polygon USD,0.21823609,0.005908981,2.782965,0,1267171,0,2025-03-25,10:29:33
LTC-USD,Litecoin USD,94.34411,1.3513107,1.4531325,7128496128,438263616,75558472,2025-03-25,10:29:33
BCH-USD,Bitcoin Cash USD,330.8301,2.1834412,0.66437936,6565952000,200222144,19846900,2025-03-25,10:29:33
LINK-USD,Chainlink USD,15.49479,0.42665863,2.8315265,10181625856,335221984,657099968,2025-03-25,10:29:33
XLM-USD,Stellar USD,0.2929858,0.004046917,1.4006191,9018032128,168799152,30779758592,2025-03-25,10:29:33
UNI-USD,UNICORN Token USD,0.00017628811,8.342031e-07,0.4754512,18847,3,106912512,2025-03-25,10:29:33
ETC-USD,Ethereum Classic USD,18.39455,0.24370766,1.3426794,2782282752,91067432,151255824,2025-03-25,10:29:33
FIL-USD,Filecoin USD,3.1324215,0.015487671,0.4968857,2023362560,82680128,645941952,2025-03-25,10:29:33
ATOM-USD,Cosmos USD,4.879183,0.044873714,0.9282373,1907439488,129098360,390934208,2025-03-25,10:29:33
VET-USD,VeChain USD,0.026584312,0.00034620985,1.3194937,2285853184,54758904,85985042432,2025-03-25,10:29:33
HBAR-USD,Hedera USD,0.20022976,0.00873588,4.561963,8453580288,206990304,42219401216,2025-03-25,10:29:33
ICP-USD,Internet Computer USD,6.132306,0.12680435,2.1114752,2955225600,65060784,481910976,2025-03-25,10:29:33
EGLD-USD,MultiversX USD,19.540655,0.5826721,3.0734854,547410368,25112462,28013922,2025-03-25,10:29:33
MANA-USD,Decentraland USD,0.2807791,0.00090664625,0.32395673,545344640,52765680,1942255232,2025-03-25,10:29:33
SAND-USD,The Sandbox USD,0.30581373,0.007139325,2.3903413,758833024,54789556,2481357056,2025-03-25,10:29:33
AXS-USD,Axie Infinity USD,3.5088818,0.037642002,1.0843967,560776064,21112346,159816176,2025-03-25,10:29:33
THETA-USD,Theta Network USD,0.977568,0.011533558,1.1939044,977568000,15363204,1000000000,2025-03-25,10:29:33
AAVE-USD,Aave USD,190.00182,-1.5276642,-0.7976102,2867412480,172994480,15091500,2025-03-25,10:29:33
FTM-USD,Fantom USD,0.69689536,-0.004967928,-0.70781803,1953840128,46269352,2803634944,2025-03-25,10:29:33
GRT-USD,Golden Ratio Token USD,0.45430142,-0.03135559,-6.45632,0,2312535,0,2025-03-25,10:29:33
FLOW-USD,Flow USD,0.42843503,0.0017268658,0.4046892,673099648,21025620,1571065856,2025-03-25,10:29:33
KSM-USD,Kusama USD,18.288343,0.06319237,0.3467287,297698848,9513485,16278066,2025-03-25,10:29:33
XTZ-USD,Tezos USD,0.72438973,0.016346931,2.3087544,750654400,18092498,1036257600,2025-03-25,10:29:33
NEO-USD,Neo USD,8.001386,-0.17976475,-2.1973088,564408384,41521972,70538832,2025-03-25,10:29:33
CHZ-USD,Chiliz USD,0.04838469,0.0010613762,2.2428143,459039872,30945130,9487296512,2025-03-25,10:29:33
CAKE-USD,PancakeSwap USD,2.6011121,0.06925559,2.7353678,761676736,222671360,292827328,2025-03-25,10:29:33
ZIL-USD,Zilliqa USD,0.013079327,0.00010911934,0.8413086,257572752,13245772,19693121536,2025-03-25,10:29:33
ENJ-USD,Enjin Coin USD,0.09716538,0.0012080371,1.2589326,176716000,14374563,1818713472,2025-03-25,10:29:33
LRC-USD,Loopring USD,0.11170659,0.0016231909,1.4745114,152683456,17300554,1366825856,2025-03-25,10:29:33
BAT-USD,Basic Attention Token USD,0.15666345,0.003434524,2.2414272,234316560,14534614,1495668352,2025-03-25,10:29:33
DASH-USD,Dash USD,24.027473,0.19208145,0.80586904,293068096,39674708,12197208,2025-03-25,10:29:33
CRV-USD,Curve DAO Token USD,0.50642467,-0.00046229362,-0.09119944,661454144,101712672,1306125440,2025-03-25,10:29:33
RUNE-USD,THORChain USD,1.2540607,-0.024169922,-1.8908896,441097376,127772232,351735264,2025-03-25,10:29:33
1INCH-USD,1inch Network USD,0.21662122,0.002258107,1.0534053,298439840,14607479,1377703680,2025-03-25,10:29:33
CELO-USD,Celo USD,0.39090067,0.008332044,2.177923,220963664,14109888,565268032,2025-03-25,10:29:33
XEM-USD,NEM USD,0.019426072,-6.238744e-05,-0.3201261,174834640,14860898,8999999488,2025-03-25,10:29:33
QTUM-USD,Qtum USD,2.2336514,0.022458553,1.0156783,235818000,40068564,105575112,2025-03-25,10:29:33
ONT-USD,Ontology USD,0.15615304,0.001292929,0.83490926,142676704,6457108,913697856,2025-03-25,10:29:33
OMG-USD,OMG Network USD,0.2269289,0.00015057623,0.06640378,31825734,7685224,140245392,2025-03-25,10:29:33
