Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,85160.016,1115.0703,1.3267564,1689647579136,10874952704,19840856,2025-03-23,12:53:48
ETH-USD,Ethereum USD,2006.6549,22.274902,1.1225148,242076418048,7053302784,120636792,2025-03-23,12:53:48
BNB-USD,BNB USD,621.98584,-2.335266,-0.3740501,88616214528,1190310016,142473040,2025-03-23,12:53:48
XRP-USD,XRP USD,2.4144497,0.04492998,1.8961633,140419825664,1938960384,58158112768,2025-03-23,12:53:48
ADA-USD,Cardano USD,0.70990795,0.0074415803,1.0593482,25016403968,505680992,35238940672,2025-03-23,12:53:48
SOL-USD,Solana USD,132.80188,3.9711761,3.0824804,67810897920,1559721088,510617024,2025-03-23,12:53:48
DOGE-USD,Dogecoin USD,0.17189454,0.004208833,2.5099552,25534824448,527669632,148549369856,2025-03-23,12:53:48
DOT-USD,Polkadot USD,4.471479,0.024299622,0.54640824,6976421376,126155392,1560204416,2025-03-23,12:53:48
MATIC-USD,Polygon USD,0.21175648,0.001197651,0.56879544,0,509574,0,2025-03-23,12:53:48
LTC-USD,Litecoin USD,92.86962,2.0403137,2.2463207,7017086464,287760512,75558472,2025-03-23,12:53:48
BCH-USD,Bitcoin Cash USD,323.7163,0.7468567,0.23124309,6424497152,188504720,19846072,2025-03-23,12:53:48
LINK-USD,Chainlink USD,14.44669,0.26053047,1.8365104,9492919296,220154688,657099968,2025-03-23,12:53:48
XLM-USD,Stellar USD,0.28218865,0.007056147,2.5646272,8679538688,150970944,30757928960,2025-03-23,12:53:48
UNI-USD,UNICORN Token USD,0.00017132807,2.3968896e-06,1.4188559,18317,3,106912512,2025-03-23,12:53:48
ETC-USD,Ethereum Classic USD,17.725683,-0.19066429,-1.0641854,2680681216,76728592,151231472,2025-03-23,12:53:48
FIL-USD,Filecoin USD,3.0091338,0.02574563,0.8629623,1943348224,76530800,645816512,2025-03-23,12:53:48
ATOM-USD,Cosmos USD,4.745596,-0.038763523,-0.81020963,1855215744,143648480,390934208,2025-03-23,12:53:48
VET-USD,VeChain USD,0.025205124,-0.00010854937,-0.42882246,2167263488,45266708,85985042432,2025-03-23,12:53:48
HBAR-USD,Hedera USD,0.1839606,0.0009966344,0.5447182,7766706176,157333664,42219401216,2025-03-23,12:53:48
ICP-USD,Internet Computer USD,5.814604,0.073354244,1.277672,2801440000,42927840,481793792,2025-03-23,12:53:48
EGLD-USD,MultiversX USD,18.368565,0.22365761,1.2326263,514464192,32783778,28007860,2025-03-23,12:53:48
