Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,87481.41,2582.8828,3.0423183,1735748091904,23186065408,19841336,2025-03-24,10:48:20
ETH-USD,Ethereum USD,2085.5154,70.22351,3.4845338,251595096064,12287427584,120639296,2025-03-24,10:48:20
BNB-USD,BNB USD,626.6387,3.4628296,0.55567497,89279021056,1590627328,142472896,2025-03-24,10:48:20
XRP-USD,XRP USD,2.456532,0.046641827,1.9354374,142867267584,2910513408,58158112768,2025-03-24,10:48:20
ADA-USD,Cardano USD,0.7300788,0.019604445,2.7593546,25727205376,779758720,35238940672,2025-03-24,10:48:20
SOL-USD,Solana USD,143.95863,10.566681,7.921528,73611993088,3512516864,511341280,2025-03-24,10:48:20
DOGE-USD,Dogecoin USD,0.1766009,0.0052582473,3.068853,26236174336,795614080,148561952768,2025-03-24,10:48:20
DOT-USD,Polkadot USD,4.6883836,0.20552778,4.5847483,7317481984,184034288,1560768768,2025-03-24,10:48:20
MATIC-USD,Polygon USD,0.21823609,0.005908981,2.782965,0,1267171,0,2025-03-24,10:48:20
LTC-USD,Litecoin USD,93.26464,1.0370483,1.1244415,7046933504,471930336,75558472,2025-03-24,10:48:20
BCH-USD,Bitcoin Cash USD,328.93396,4.7210083,1.456137,6528172032,228719376,19846454,2025-03-24,10:48:20
LINK-USD,Chainlink USD,15.153388,0.7355995,5.1020308,9957291008,347269248,657099968,2025-03-24,10:48:20
XLM-USD,Stellar USD,0.28963292,0.008898348,3.1696634,8908506112,178545632,30757922816,2025-03-24,10:48:20
UNI-USD,UNICORN Token USD,0.00017596463,5.2489486e-06,3.0746737,18812,3,106912512,2025-03-24,10:48:20
ETC-USD,Ethereum Classic USD,18.19473,0.4663658,2.630618,2751831296,99093648,151243328,2025-03-24,10:48:20
FIL-USD,Filecoin USD,3.1223977,0.10417962,3.4516957,2016887680,131294400,645941952,2025-03-24,10:48:20
ATOM-USD,Cosmos USD,4.8462186,0.06623125,1.3855976,1894552576,141142272,390934208,2025-03-24,10:48:20
VET-USD,VeChain USD,0.026384264,0.0010586362,4.180092,2268652032,72700336,85985042432,2025-03-24,10:48:20
HBAR-USD,Hedera USD,0.19214173,0.00837712,4.558613,8112108032,202973520,42219401216,2025-03-24,10:48:20
ICP-USD,Internet Computer USD,6.034229,0.20934534,3.5939853,2907348480,55230896,481809472,2025-03-24,10:48:20
EGLD-USD,MultiversX USD,19.02583,0.68497086,3.734674,532930880,36065876,28010916,2025-03-24,10:48:20
MANA-USD,Decentraland USD,0.28073108,0.015533417,5.857296,545251392,123303048,1942255232,2025-03-24,10:48:20
SAND-USD,The Sandbox USD,0.29987207,0.013993204,4.8948083,744089664,66388176,2481357056,2025-03-24,10:48:20
AXS-USD,Axie Infinity USD,3.4919205,0.105397224,3.1122546,557997888,23234608,159796848,2025-03-24,10:48:20
THETA-USD,Theta Network USD,0.9718981,0.047214866,5.1060553,971898112,24111590,1000000000,2025-03-24,10:48:20
AAVE-USD,Aave USD,192.13268,6.6176453,3.5671725,2899546880,243277424,15091379,2025-03-24,10:48:20
FTM-USD,Fantom USD,0.69689536,-0.004967928,-0.70781803,1953840128,46269352,2803634944,2025-03-24,10:48:20
GRT-USD,Golden Ratio Token USD,0.45430142,-0.03135559,-6.45632,0,2312535,0,2025-03-24,10:48:20
FLOW-USD,Flow USD,0.42738822,0.009820789,2.3519027,671455040,22378356,1571065856,2025-03-24,10:48:20
KSM-USD,Kusama USD,18.23211,1.0002537,5.8046823,296707232,20714664,16273883,2025-03-24,10:48:20
XTZ-USD,Tezos USD,0.7092908,0.023940206,3.4931297,734802304,15933864,1035967680,2025-03-24,10:48:20
NEO-USD,Neo USD,8.201175,0.07742882,0.9531186,578501248,37392144,70538832,2025-03-24,10:48:20
CHZ-USD,Chiliz USD,0.04731228,0.0016738474,3.6676285,448770432,52804780,9485285376,2025-03-24,10:48:20
CAKE-USD,PancakeSwap USD,2.5366094,-0.08497167,-3.2412393,742620800,187146544,292761184,2025-03-24,10:48:20
ZIL-USD,Zilliqa USD,0.013002938,0.0005064262,4.052541,256015744,36772496,19689070592,2025-03-24,10:48:20
