Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,88201.36,3199.4922,3.7640162,1750040313856,31326420992,19841420,2025-03-24,16:43:30
ETH-USD,Ethereum USD,2088.6199,93.70361,4.697124,251969634304,14544728064,120639296,2025-03-24,16:43:30
BNB-USD,BNB USD,636.13605,12.706299,2.0381322,90632101888,1765328512,142472832,2025-03-24,16:43:30
XRP-USD,XRP USD,2.467437,0.070922375,2.9593918,143501475840,3289657856,58158112768,2025-03-24,16:43:30
ADA-USD,Cardano USD,0.7398675,0.041812778,5.989896,26072147968,842120768,35238940672,2025-03-24,16:43:30
SOL-USD,Solana USD,142.52528,12.059372,9.243314,72878981120,4017622528,511340736,2025-03-24,16:43:30
DOGE-USD,Dogecoin USD,0.18702395,0.016288191,9.539993,27785226240,1319656704,148565065728,2025-03-24,16:43:30
DOT-USD,Polkadot USD,4.693808,0.25476646,5.739226,7326983680,192154496,1560989184,2025-03-24,16:43:30
MATIC-USD,Polygon USD,0.21823609,0.005908981,2.782965,0,1267171,0,2025-03-24,16:43:30
LTC-USD,Litecoin USD,94.70352,3.3819275,3.7033172,7155653120,527355680,75558472,2025-03-24,16:43:30
BCH-USD,Bitcoin Cash USD,335.25018,12.968109,4.023835,6653562880,230858032,19846560,2025-03-24,16:43:30
LINK-USD,Chainlink USD,15.191535,0.85277176,5.947321,9982357504,410194656,657099968,2025-03-24,16:43:30
XLM-USD,Stellar USD,0.29093632,0.00860998,3.0496593,8949469184,189047520,30760921088,2025-03-24,16:43:30
UNI-USD,UNICORN Token USD,0.00017760794,6.753122e-06,3.952552,18988,3,106912512,2025-03-24,16:43:30
ETC-USD,Ethereum Classic USD,18.292574,0.67058563,3.8053901,2766679040,105529648,151246016,2025-03-24,16:43:30
FIL-USD,Filecoin USD,3.1429985,0.16237545,5.4476957,2030194560,135113728,645941952,2025-03-24,16:43:30
ATOM-USD,Cosmos USD,4.933903,0.22034359,4.674679,1928831488,142884128,390934208,2025-03-24,16:43:30
VET-USD,VeChain USD,0.026283268,0.0013358649,5.354721,2259967744,74595096,85985042432,2025-03-24,16:43:30
HBAR-USD,Hedera USD,0.19507654,0.013383821,7.3661757,8236014080,215680384,42219401216,2025-03-24,16:43:30
ICP-USD,Internet Computer USD,6.0635114,0.2828207,4.892506,2921467648,61788388,481811200,2025-03-24,16:43:30
EGLD-USD,MultiversX USD,19.122541,0.92531776,5.084949,535697344,34068568,28013922,2025-03-24,16:43:30
MANA-USD,Decentraland USD,0.28111658,0.020307362,7.786291,546000128,123323240,1942255232,2025-03-24,16:43:30
SAND-USD,The Sandbox USD,0.29991335,0.018931568,6.7376523,744192128,68188360,2481357056,2025-03-24,16:43:30
AXS-USD,Axie Infinity USD,3.5175338,0.17834997,5.3411303,562113536,24602878,159803312,2025-03-24,16:43:30
THETA-USD,Theta Network USD,0.97787213,0.066796005,7.3315554,977872128,24979834,1000000000,2025-03-24,16:43:30
AAVE-USD,Aave USD,192.03555,9.607925,5.2667027,2898097664,240954848,15091464,2025-03-24,16:43:30
FTM-USD,Fantom USD,0.69689536,-0.004967928,-0.70781803,1953840128,46269352,2803634944,2025-03-24,16:43:30
GRT-USD,Golden Ratio Token USD,0.45430142,-0.03135559,-6.45632,0,2312535,0,2025-03-24,16:43:30
FLOW-USD,Flow USD,0.42716932,0.01838845,4.498363,671111104,22702208,1571065856,2025-03-24,16:43:30
KSM-USD,Kusama USD,18.17712,1.1304607,6.631569,295823104,19896190,16274475,2025-03-24,16:43:30
XTZ-USD,Tezos USD,0.71683383,0.03228253,4.7158747,742629888,16078166,1035986112,2025-03-24,16:43:30
NEO-USD,Neo USD,8.186879,0.19957781,2.4986813,577492928,43191428,70538832,2025-03-24,16:43:30
CHZ-USD,Chiliz USD,0.047571696,0.0027285367,6.0846233,451251584,50294668,9485715456,2025-03-24,16:43:30
