Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,82754.25,-1059.9531,-1.2646408,1641540485120,33402531840,19836328,2025-03-13,10:17:18
ETH-USD,Ethereum USD,1907.0322,-13.524902,-0.70421875,230010372096,18824814592,120611688,2025-03-13,10:17:18
BNB-USD,BNB USD,595.9005,34.625732,6.169125,84900995072,2162381312,142475120,2025-03-13,10:17:18
XRP-USD,XRP USD,2.3179054,0.081783056,3.657367,134538887168,5598604800,58043297792,2025-03-13,10:17:18
ADA-USD,Cardano USD,0.73040754,-0.025749028,-3.405246,25732718592,1174545280,35230629888,2025-03-13,10:17:18
SOL-USD,Solana USD,126.998436,-1.6718826,-1.2993544,64694530048,3310546944,509412032,2025-03-13,10:17:18
DOGE-USD,Dogecoin USD,0.1700459,-0.0014095455,-0.82210165,25236656128,1451131008,148410843136,2025-03-13,10:17:18
DOT-USD,Polkadot USD,4.0610595,0.026291847,0.6516337,6324325888,187641568,1557309312,2025-03-13,10:17:18
MATIC-USD,Polygon USD,0.21669431,-0.0055609792,-2.502064,414706048,6829383,1913783680,2025-03-13,10:17:18
LTC-USD,Litecoin USD,90.058075,-1.8299713,-1.9915235,6804650496,543437568,75558472,2025-03-13,10:17:18
BCH-USD,Bitcoin Cash USD,334.4771,-16.30481,-4.648133,6636551680,366209952,19841572,2025-03-13,10:17:18
LINK-USD,Chainlink USD,13.376781,-0.21340847,-1.5703167,8535723520,458412576,638099968,2025-03-13,10:17:18
XLM-USD,Stellar USD,0.29040095,0.029168129,11.165569,8924721152,370970784,30732410880,2025-03-13,10:17:18
UNI-USD,UNICORN Token USD,0.0001664495,-2.2292952e-06,-1.3216211,17795,3,106912512,2025-03-13,10:17:18
ETC-USD,Ethereum Classic USD,17.979717,0.12767982,0.7152098,2716729344,103114432,151099664,2025-03-13,10:17:18
FIL-USD,Filecoin USD,2.8024752,-0.029766321,-1.050977,1803797504,128254600,643644416,2025-03-13,10:17:18
ATOM-USD,Cosmos USD,3.9323733,0.011337757,0.2891489,1537299200,113612576,390934208,2025-03-13,10:17:18
VET-USD,VeChain USD,0.024326008,-0.0005560536,-2.2347565,2091672832,69517568,85985042432,2025-03-13,10:17:18
HBAR-USD,Hedera USD,0.19884981,-0.009987995,-4.78266,8394957824,450762240,42217582592,2025-03-13,10:17:18
ICP-USD,Internet Computer USD,5.5751996,0.06333542,1.1490648,2683976960,71266472,481413632,2025-03-13,10:17:18
EGLD-USD,MultiversX USD,18.061443,-0.62153244,-3.3267307,505111520,23547284,27966288,2025-03-13,10:17:18
MANA-USD,Decentraland USD,0.26855877,-0.0026764274,-0.9867533,521609696,71609216,1942255232,2025-03-13,10:17:18
SAND-USD,The Sandbox USD,0.27821413,-0.009887576,-3.4319732,687009984,78783720,2469357056,2025-03-13,10:17:18
AXS-USD,Axie Infinity USD,3.1783264,-0.059022665,-1.8231812,506627360,32716638,159400672,2025-03-13,10:17:18
THETA-USD,Theta Network USD,0.88683635,-0.016556561,-1.8327043,886836352,27396910,1000000000,2025-03-13,10:17:18
AAVE-USD,Aave USD,173.01407,-2.6417236,-1.50392,2610514432,354125280,15088451,2025-03-13,10:17:18
FTM-USD,Fantom USD,0.69689536,-0.004967928,-0.70781803,1953840128,46269352,2803634944,2025-03-13,10:17:18
GRT-USD,Golden Ratio Token USD,0.45430142,-0.03135559,-6.45632,0,2312535,0,2025-03-13,10:17:18
FLOW-USD,Flow USD,0.3993799,-0.003979206,-0.98651624,626863744,30306822,1569592576,2025-03-13,10:17:18
KSM-USD,Kusama USD,16.12698,0.050685883,0.3152844,261676624,12942886,16226016,2025-03-13,10:17:18
XTZ-USD,Tezos USD,0.69084454,-0.007722974,-1.1055437,714644032,26848170,1034449920,2025-03-13,10:17:18
NEO-USD,Neo USD,7.907171,-0.03533697,-0.4449096,557762560,25683950,70538832,2025-03-13,10:17:18
CHZ-USD,Chiliz USD,0.043294318,-0.0006495565,-1.4781506,409638784,60584536,9461722112,2025-03-13,10:17:18
