Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,87187.58,-611.34375,-0.69629645,1729951301632,32452698112,19841718,2025-03-25,07:59:22
ETH-USD,Ethereum USD,2073.3472,-23.90747,-1.1399426,250132365312,12501989376,120641816,2025-03-25,07:59:22
BNB-USD,BNB USD,638.0874,8.882385,1.4116873,90910056448,2074131840,142472736,2025-03-25,07:59:22
XRP-USD,XRP USD,2.445193,-0.02682662,-1.0852085,142207811584,2803995904,58158112768,2025-03-25,07:59:22
ADA-USD,Cardano USD,0.7617202,0.028622806,3.904362,26842212352,968621440,35238940672,2025-03-25,07:59:22
SOL-USD,Solana USD,142.74606,0.5135956,0.36109507,72991727616,3349907968,511339712,2025-03-25,07:59:22
DOGE-USD,Dogecoin USD,0.1864104,0.009549946,5.3997073,27695728640,1592352128,148573945856,2025-03-25,07:59:22
DOT-USD,Polkadot USD,4.653011,-0.08887243,-1.874203,7263516160,162434832,1561035776,2025-03-25,07:59:22
MATIC-USD,Polygon USD,0.21823609,0.005908981,2.782965,0,1267171,0,2025-03-25,07:59:22
LTC-USD,Litecoin USD,93.163666,-0.6674957,-0.71138084,7039303680,442647616,75558472,2025-03-25,07:59:22
BCH-USD,Bitcoin Cash USD,329.4076,-1.2267456,-0.37102413,6537703936,200572048,19846854,2025-03-25,07:59:22
LINK-USD,Chainlink USD,15.441311,0.19312382,1.2665339,10146485248,343615776,657099968,2025-03-25,07:59:22
XLM-USD,Stellar USD,0.29193625,-1.7404556e-05,-0.00596715,8985728000,164998480,30779758592,2025-03-25,07:59:22
UNI-USD,UNICORN Token USD,0.000175197,-1.1965749e-06,-0.6783569,18730,3,106912512,2025-03-25,07:59:22
ETC-USD,Ethereum Classic USD,18.395477,0.052907944,0.2884403,2782402304,95651768,151254704,2025-03-25,07:59:22
FIL-USD,Filecoin USD,3.1343246,0.00086283684,0.02753247,2024591744,97846816,645941952,2025-03-25,07:59:22
ATOM-USD,Cosmos USD,4.859342,0.034307003,0.71101946,1899682944,126489488,390934208,2025-03-25,07:59:22
VET-USD,VeChain USD,0.026560133,-3.5826117e-05,-0.13470583,2283774208,54142636,85985042432,2025-03-25,07:59:22
HBAR-USD,Hedera USD,0.19781005,0.004428819,2.290198,8351421440,203450640,42219401216,2025-03-25,07:59:22
ICP-USD,Internet Computer USD,6.1456823,0.05975151,0.98179924,2961671424,63263516,481910944,2025-03-25,07:59:22
EGLD-USD,MultiversX USD,19.432693,0.4298153,2.2618465,544385984,25417716,28013922,2025-03-25,07:59:22
MANA-USD,Decentraland USD,0.27992168,-0.0055482388,-1.9435439,543679296,64974324,1942255232,2025-03-25,07:59:22
SAND-USD,The Sandbox USD,0.30184877,0.0012412667,0.41291487,748994560,56093252,2481357056,2025-03-25,07:59:22
AXS-USD,Axie Infinity USD,3.5229473,0.01182723,0.33684757,563017600,21926808,159814368,2025-03-25,07:59:22
THETA-USD,Theta Network USD,0.97297144,0.0003092289,0.03179376,972971392,15218306,1000000000,2025-03-25,07:59:22
AAVE-USD,Aave USD,190.54889,-3.1707916,-1.6367921,2875667968,176075040,15091497,2025-03-25,07:59:22
FTM-USD,Fantom USD,0.69689536,-0.004967928,-0.70781803,1953840128,46269352,2803634944,2025-03-25,07:59:22
GRT-USD,Golden Ratio Token USD,0.45430142,-0.03135559,-6.45632,0,2312535,0,2025-03-25,07:59:22
FLOW-USD,Flow USD,0.4259564,-0.00452742,-1.0517066,669205568,21050500,1571065856,2025-03-25,07:59:22
KSM-USD,Kusama USD,18.212397,-0.14517784,-0.7908342,296450336,9595936,16277393,2025-03-25,07:59:22
XTZ-USD,Tezos USD,0.72567,0.011289179,1.5802761,751975168,18196768,1036249472,2025-03-25,07:59:22
NEO-USD,Neo USD,7.9966516,-0.2177248,-2.6505306,564074432,45386548,70538832,2025-03-25,07:59:22
CHZ-USD,Chiliz USD,0.04839244,0.00027997047,0.58190787,459104800,31082826,9487118336,2025-03-25,07:59:22
CAKE-USD,PancakeSwap USD,2.59485,0.030479431,1.1885756,759841344,220983280,292826688,2025-03-25,07:59:22
ZIL-USD,Zilliqa USD,0.013078283,-2.712477e-05,-0.2069703,257546976,13797985,19692722176,2025-03-25,07:59:22
