Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,80541.26,-1950.2266,-2.3641548,1597649059840,31214686208,19836406,2025-03-13,15:25:41
ETH-USD,Ethereum USD,1836.3512,-40.638428,-2.1650867,221485416448,18438172672,120611688,2025-03-13,15:25:41
BNB-USD,BNB USD,574.97504,14.886475,2.657883,81919623168,2420651520,142475088,2025-03-13,15:25:41
XRP-USD,XRP USD,2.2411146,0.016929626,0.76115745,130081693696,5543516160,58043297792,2025-03-13,15:25:41
ADA-USD,Cardano USD,0.7019533,-0.023523808,-3.2425263,24730257408,1192084352,35230629888,2025-03-13,15:25:41
SOL-USD,Solana USD,122.2163,-2.8135529,-2.2503068,62261329920,3055144960,509435584,2025-03-13,15:25:41
DOGE-USD,Dogecoin USD,0.16395114,-0.0034267753,-2.0473232,24332648448,1464577920,148414021632,2025-03-13,15:25:41
DOT-USD,Polkadot USD,3.887302,-0.07362294,-1.8587297,6054880256,192598448,1557604864,2025-03-13,15:25:41
MATIC-USD,Polygon USD,0.20824525,-0.0068784207,-3.1974247,398536352,7534867,1913783680,2025-03-13,15:25:41
LTC-USD,Litecoin USD,87.31844,-3.4554825,-3.806695,6597647872,512433216,75558472,2025-03-13,15:25:41
BCH-USD,Bitcoin Cash USD,328.21478,-25.288635,-7.153717,6512330752,307991072,19841676,2025-03-13,15:25:41
LINK-USD,Chainlink USD,12.869215,-0.2870407,-2.1817784,8211845632,388241536,638099968,2025-03-13,15:25:41
XLM-USD,Stellar USD,0.27096564,0.014824122,5.787463,8327426560,443489536,30732408832,2025-03-13,15:25:41
UNI-USD,UNICORN Token USD,0.00016173044,-3.8007129e-06,-2.2960694,17291,3,106912512,2025-03-13,15:25:41
ETC-USD,Ethereum Classic USD,17.563066,-0.34536743,-1.9285139,2653820672,103138400,151102368,2025-03-13,15:25:41
FIL-USD,Filecoin USD,2.695296,-0.099619865,-3.56433,1734812160,125651288,643644416,2025-03-13,15:25:41
ATOM-USD,Cosmos USD,3.8481627,-0.07138252,-1.8211952,1504378496,112220304,390934208,2025-03-13,15:25:41
VET-USD,VeChain USD,0.023232937,-0.00092563033,-3.831477,1997684992,72832960,85985042432,2025-03-13,15:25:41
HBAR-USD,Hedera USD,0.18787253,-0.011107191,-5.5820723,7931523584,397069856,42217582592,2025-03-13,15:25:41
ICP-USD,Internet Computer USD,5.350791,-0.09222841,-1.6944352,2575923200,66638076,481409792,2025-03-13,15:25:41
EGLD-USD,MultiversX USD,17.401394,-0.9538269,-5.1964893,486705376,25193316,27969334,2025-03-13,15:25:41
MANA-USD,Decentraland USD,0.26096958,-0.012241334,-4.4805427,506869536,69858080,1942255232,2025-03-13,15:25:41
SAND-USD,The Sandbox USD,0.2673888,-0.014651686,-5.1948895,660278400,71586152,2469357056,2025-03-13,15:25:41
AXS-USD,Axie Infinity USD,3.0627236,-0.115418434,-3.6316342,488209952,31648384,159403856,2025-03-13,15:25:41
THETA-USD,Theta Network USD,0.8470828,-0.041223645,-4.640698,847082816,28957564,1000000000,2025-03-13,15:25:41
AAVE-USD,Aave USD,165.69632,-4.1935425,-2.4683921,2500108800,356824800,15088499,2025-03-13,15:25:41
FTM-USD,Fantom USD,0.69689536,-0.004967928,-0.70781803,1953840128,46269352,2803634944,2025-03-13,15:25:41
GRT-USD,Golden Ratio Token USD,0.45430142,-0.03135559,-6.45632,0,2312535,0,2025-03-13,15:25:41
FLOW-USD,Flow USD,0.38694942,-0.010038793,-2.5287411,607352896,30680336,1569592576,2025-03-13,15:25:41
KSM-USD,Kusama USD,15.550408,-0.3659315,-2.299096,252325488,13576580,16226294,2025-03-13,15:25:41
XTZ-USD,Tezos USD,0.67015064,-0.014081538,-2.0580034,693248384,27682308,1034466496,2025-03-13,15:25:41
NEO-USD,Neo USD,7.560339,-0.2794876,-3.5649707,533297472,25971746,70538832,2025-03-13,15:25:41
CHZ-USD,Chiliz USD,0.042040735,-0.0016471669,-3.7703063,397796416,58043260,9462166528,2025-03-13,15:25:41
CAKE-USD,PancakeSwap USD,1.5767694,0.038550973,2.5062125,455294464,93320904,288751456,2025-03-13,15:25:41
ZIL-USD,Zilliqa USD,0.0116624115,-0.00030939747,-2.5843852,229102256,20242936,19644499968,2025-03-13,15:25:41
ENJ-USD,Enjin Coin USD,0.08757689,-0.003984235,-4.351446,159016944,16385522,1815740928,2025-03-13,15:25:41
LRC-USD,Loopring USD,0.10145512,-0.0035150126,-3.348583,138671488,16239893,1366825856,2025-03-13,15:25:41
BAT-USD,Basic Attention Token USD,0.14208937,-0.0048876256,-3.3254316,212518560,17787652,1495668352,2025-03-13,15:25:41
DASH-USD,Dash USD,21.737478,-0.2983799,-1.3540686,264720048,46980956,12178048,2025-03-13,15:25:41
CRV-USD,Curve DAO Token USD,0.38283175,-0.016636759,-4.1647234,497112832,113171232,1298515200,2025-03-13,15:25:41
RUNE-USD,THORChain USD,1.1047984,-0.018776774,-1.6711618,388664992,206887520,351797184,2025-03-13,15:25:41
1INCH-USD,1inch Network USD,0.19086257,-0.005187124,-2.6458228,262738480,23301174,1376584576,2025-03-13,15:25:41
CELO-USD,Celo USD,0.32276997,-0.009492427,-2.856903,182451552,20571040,565268032,2025-03-13,15:25:41
XEM-USD,NEM USD,0.0190128,-2.2649765e-06,-0.01191699,171115200,34516008,8999999488,2025-03-13,15:25:41
QTUM-USD,Qtum USD,2.0511026,-0.06568718,-3.1031578,216512720,44850436,105559184,2025-03-13,15:25:41
ONT-USD,Ontology USD,0.13764724,-0.0030605644,-2.175123,125630344,8055908,912697856,2025-03-13,15:25:41
OMG-USD,OMG Network USD,0.19757456,-0.0054186583,-2.6693845,27708922,14506948,140245392,2025-03-13,15:25:41
YFI-USD,yearn.finance USD,4904.5415,-120.38281,-2.3957124,165536240,29756824,33751,2025-03-13,15:25:41
ICX-USD,ICON USD,0.09740017,-0.0016783476,-1.6939566,102674384,4057600,1054149952,2025-03-13,15:25:41
