Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,87335.945,1842.0312,2.1545758,1732876173312,34547924992,19841500,2025-03-24,20:20:45
ETH-USD,Ethereum USD,2073.6433,84.41394,4.2435527,250162872320,14659218432,120639296,2025-03-24,20:20:45
BNB-USD,BNB USD,636.0177,14.4422,2.3234859,90615234560,1783565056,142472816,2025-03-24,20:20:45
XRP-USD,XRP USD,2.4418619,0.02035737,0.8406853,142014087168,3278887168,58158112768,2025-03-24,20:20:45
ADA-USD,Cardano USD,0.7282957,0.023207545,3.291444,25664368640,892975488,35238940672,2025-03-24,20:20:45
SOL-USD,Solana USD,139.87198,8.410873,6.3980002,71522197504,4190802688,511340416,2025-03-24,20:20:45
DOGE-USD,Dogecoin USD,0.18302393,0.011635333,6.788865,27191386112,1449090432,148567392256,2025-03-24,20:20:45
DOT-USD,Polkadot USD,4.606189,0.12267876,2.7362225,7190322688,197219552,1561013504,2025-03-24,20:20:45
MATIC-USD,Polygon USD,0.21823609,0.005908981,2.782965,0,1267171,0,2025-03-24,20:20:45
LTC-USD,Litecoin USD,93.54654,2.3223267,2.5457394,7068232704,545160512,75558472,2025-03-24,20:20:45
BCH-USD,Bitcoin Cash USD,331.59344,6.488495,1.9958186,6581017600,230293888,19846646,2025-03-24,20:20:45
LINK-USD,Chainlink USD,15.045519,0.7114763,4.963538,9886409728,412005472,657099968,2025-03-24,20:20:45
XLM-USD,Stellar USD,0.28899986,0.00803563,2.860017,8895346688,188791312,30779762688,2025-03-24,20:20:45
UNI-USD,UNICORN Token USD,0.00017557376,3.7858117e-06,2.2037752,18771,3,106912512,2025-03-24,20:20:45
ETC-USD,Ethereum Classic USD,18.297167,0.5806732,3.2775874,2767417088,106911040,151248384,2025-03-24,20:20:45
FIL-USD,Filecoin USD,3.1134841,0.1069715,3.5579894,2011130112,133838976,645941952,2025-03-24,20:20:45
ATOM-USD,Cosmos USD,4.939245,0.12286711,2.551028,1930919808,142286320,390934208,2025-03-24,20:20:45
VET-USD,VeChain USD,0.026137272,0.0011872761,4.7586145,2247414272,71250552,85985042432,2025-03-24,20:20:45
HBAR-USD,Hedera USD,0.19256543,0.0074752867,4.038724,8129996288,221133136,42219401216,2025-03-24,20:20:45
ICP-USD,Internet Computer USD,6.019027,0.22248173,3.8381865,2900021760,63574204,481809056,2025-03-24,20:20:45
EGLD-USD,MultiversX USD,19.181002,0.7995281,4.349636,537335104,33617796,28013922,2025-03-24,20:20:45
MANA-USD,Decentraland USD,0.27852923,0.015171617,5.760851,540974848,115590336,1942255232,2025-03-24,20:20:45
SAND-USD,The Sandbox USD,0.29906616,0.015536457,5.4796553,742089984,69297040,2481357056,2025-03-24,20:20:45
AXS-USD,Axie Infinity USD,3.4908674,0.14387369,4.298592,557859072,24944612,159805280,2025-03-24,20:20:45
THETA-USD,Theta Network USD,0.97508,0.061955392,6.7849894,975080000,24355186,1000000000,2025-03-24,20:20:45
AAVE-USD,Aave USD,190.14482,5.2532043,2.8412292,2869565440,225787568,15091474,2025-03-24,20:20:45
FTM-USD,Fantom USD,0.69689536,-0.004967928,-0.70781803,1953840128,46269352,2803634944,2025-03-24,20:20:45
GRT-USD,Golden Ratio Token USD,0.45430142,-0.03135559,-6.45632,0,2312535,0,2025-03-24,20:20:45
FLOW-USD,Flow USD,0.4261606,0.016576469,4.0471478,669526400,23011752,1571065856,2025-03-24,20:20:45
KSM-USD,Kusama USD,18.23493,0.61722374,3.5034273,296775680,17767826,16275120,2025-03-24,20:20:45
XTZ-USD,Tezos USD,0.7239032,0.03145331,4.542327,749963328,18632974,1035999488,2025-03-24,20:20:45
NEO-USD,Neo USD,8.1670265,0.12956142,1.6119679,576092480,44363744,70538832,2025-03-24,20:20:45
CHZ-USD,Chiliz USD,0.047672898,0.002559755,5.674071,452227808,49048928,9486056448,2025-03-24,20:20:45
CAKE-USD,PancakeSwap USD,2.6302998,0.05314827,2.0622816,770219264,230615472,292825632,2025-03-24,20:20:45
ZIL-USD,Zilliqa USD,0.012932155,0.00065937266,5.3726387,254638400,36775512,19690328064,2025-03-24,20:20:45
ENJ-USD,Enjin Coin USD,0.09722769,0.0064659044,7.1240463,176829312,18937482,1818713600,2025-03-24,20:20:45
LRC-USD,Loopring USD,0.11034781,0.0053988844,5.144293,150826240,19412094,1366825856,2025-03-24,20:20:45
BAT-USD,Basic Attention Token USD,0.1554924,0.006836936,4.5991817,232565056,17056096,1495668352,2025-03-24,20:20:45
