Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,87168.984,-1031.4453,-1.1694391,1729665040384,25534134272,19842664,2025-03-27,08:28:30
ETH-USD,Ethereum USD,2024.895,-48.0271,-2.316872,244297351168,12543580160,120646920,2025-03-27,08:28:30
BNB-USD,BNB USD,635.47766,3.0404053,0.48074463,90538041344,1944719488,142472432,2025-03-27,08:28:30
XRP-USD,XRP USD,2.363199,-0.10596943,-4.291707,137551642624,3204047872,58205696000,2025-03-27,08:28:30
ADA-USD,Cardano USD,0.7370437,-0.034820735,-4.5112495,25974970368,777247808,35242102784,2025-03-27,08:28:30
SOL-USD,Solana USD,138.04745,-7.026245,-4.8432236,70605201408,3221374208,511456032,2025-03-27,08:28:30
DOGE-USD,Dogecoin USD,0.19472499,-0.010056585,-4.910878,28936425472,1585325312,148601503744,2025-03-27,08:28:30
DOT-USD,Polkadot USD,4.6222944,-0.13285398,-2.7938957,7218546176,195367328,1561680384,2025-03-27,08:28:30
MATIC-USD,Polygon USD,0.21823609,0.005908981,2.782965,0,1267171,0,2025-03-27,08:28:30
LTC-USD,Litecoin USD,94.26635,-1.9888763,-2.0662537,7122620928,435728288,75558472,2025-03-27,08:28:30
BCH-USD,Bitcoin Cash USD,332.7272,-5.465637,-1.6161255,6603897856,272871648,19847784,2025-03-27,08:28:30
LINK-USD,Chainlink USD,15.620825,-0.3517151,-2.2019985,10264443904,364950016,657099968,2025-03-27,08:28:30
XLM-USD,Stellar USD,0.28937903,-0.008168489,-2.745272,8907228160,187124256,30780489728,2025-03-27,08:28:30
UNI-USD,UNICORN Token USD,0.00017524812,-2.0313455e-06,-1.1458465,18736,3,106912512,2025-03-27,08:28:30
ETC-USD,Ethereum Classic USD,18.154783,-0.5031624,-2.6967688,2746479616,88944216,151281328,2025-03-27,08:28:30
FIL-USD,Filecoin USD,3.0188837,-0.18639398,-5.8152227,1950023680,104792536,645941952,2025-03-27,08:28:30
ATOM-USD,Cosmos USD,4.8363447,-0.108444214,-2.1931007,1890692608,135533616,390934208,2025-03-27,08:28:30
VET-USD,VeChain USD,0.026208563,-0.0013010763,-4.7295275,2253544192,48629720,85985042432,2025-03-27,08:28:30
HBAR-USD,Hedera USD,0.19113013,-0.008824483,-4.41324,8069399552,200691584,42219401216,2025-03-27,08:28:30
ICP-USD,Internet Computer USD,6.0378785,-0.3075652,-4.847024,2910714624,65752764,482075744,2025-03-27,08:28:30
EGLD-USD,MultiversX USD,18.985046,-0.69416237,-3.5273845,531967968,31391908,28020368,2025-03-27,08:28:30
MANA-USD,Decentraland USD,0.28030732,-0.009950876,-3.4282851,544428352,47969612,1942255232,2025-03-27,08:28:30
SAND-USD,The Sandbox USD,0.30868754,-0.007035166,-2.228274,765963968,59753320,2481357056,2025-03-27,08:28:30
AXS-USD,Axie Infinity USD,3.3788977,-0.26051593,-7.158186,540177408,30508224,159867936,2025-03-27,08:28:30
THETA-USD,Theta Network USD,0.99005175,-0.03168285,-3.1008878,990051776,20314190,1000000000,2025-03-27,08:28:30
FTM-USD,Fantom USD,0.69689536,-0.004967928,-0.70781803,1953840128,46269352,2803634944,2025-03-27,08:28:30
GRT-USD,Golden Ratio Token USD,0.45430142,-0.03135559,-6.45632,0,2312535,0,2025-03-27,08:28:30
FLOW-USD,Flow USD,0.42172417,-0.015303671,-3.5017633,663178368,16846626,1572540544,2025-03-27,08:28:30
KSM-USD,Kusama USD,18.263922,-0.38989258,-2.0901477,297447488,11568926,16286070,2025-03-27,08:28:30
XTZ-USD,Tezos USD,0.72808015,-0.018033445,-2.4169786,754590592,17237404,1036411456,2025-03-27,08:28:30
