Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,87798.76,-415.6953,-0.47122875,1742091714560,30242306048,19841872,2025-03-25,15:32:41
ETH-USD,Ethereum USD,2068.1304,-15.532227,-0.74542487,249503006720,11667182592,120641816,2025-03-25,15:32:41
BNB-USD,BNB USD,631.529,-4.403137,-0.6923909,89975603200,2237274880,142472640,2025-03-25,15:32:41
XRP-USD,XRP USD,2.4584057,-0.0058033466,-0.23550914,142976237568,2750083328,58158112768,2025-03-25,15:32:41
ADA-USD,Cardano USD,0.7516284,0.017701864,2.411934,26486587392,1092927744,35238940672,2025-03-25,15:32:41
SOL-USD,Solana USD,145.0274,3.0944977,2.1802583,74158227456,3565986304,511339392,2025-03-25,15:32:41
DOGE-USD,Dogecoin USD,0.19217062,0.009124398,4.984747,28552374272,1661240448,148578238464,2025-03-25,15:32:41
DOT-USD,Polkadot USD,4.671268,-0.012355804,-0.26381162,7293315072,162776432,1561313664,2025-03-25,15:32:41
MATIC-USD,Polygon USD,0.21823609,0.005908981,2.782965,0,1267171,0,2025-03-25,15:32:41
LTC-USD,Litecoin USD,93.654205,-0.67824554,-0.718995,7076368384,420642112,75558472,2025-03-25,15:32:41
BCH-USD,Bitcoin Cash USD,338.27045,4.77594,1.4320884,6713653248,210309616,19847000,2025-03-25,15:32:41
LINK-USD,Chainlink USD,15.473215,0.37686825,2.4964192,10167449600,316015936,657099968,2025-03-25,15:32:41
XLM-USD,Stellar USD,0.29444706,0.004313439,1.4867063,9063008256,166712880,30779754496,2025-03-25,15:32:41
UNI-USD,UNICORN Token USD,0.00017677392,-1.048902e-06,-0.58986086,18899,3,106912512,2025-03-25,15:32:41
ETC-USD,Ethereum Classic USD,18.59244,0.2685604,1.4656357,2812267008,89412512,151258640,2025-03-25,15:32:41
FIL-USD,Filecoin USD,3.1357353,-0.008188486,-0.26045644,2025503104,80644432,645941952,2025-03-25,15:32:41
ATOM-USD,Cosmos USD,4.850838,-0.060715675,-1.236179,1896358528,131685032,390934208,2025-03-25,15:32:41
VET-USD,VeChain USD,0.026699249,0.0004010629,1.5250534,2295736064,50609652,85985042432,2025-03-25,15:32:41
HBAR-USD,Hedera USD,0.19675267,0.0036525875,1.8915484,8306779648,220927488,42219401216,2025-03-25,15:32:41
