Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,88134.91,-122.984375,-0.13934375,1748759216128,30628392960,19841846,2025-03-25,14:25:39
ETH-USD,Ethereum USD,2075.002,-13.975342,-0.6690071,250331987968,11748716544,120641816,2025-03-25,14:25:39
BNB-USD,BNB USD,632.9468,-3.6487427,-0.57316625,90177601536,2253073408,142472656,2025-03-25,14:25:39
XRP-USD,XRP USD,2.4405637,-0.02058196,-0.8362778,141938573312,2584130560,58158112768,2025-03-25,14:25:39
ADA-USD,Cardano USD,0.7539093,0.021413624,2.9233782,26566965248,1097019008,35238940672,2025-03-25,14:25:39
SOL-USD,Solana USD,145.0849,2.600937,1.8254325,74187636736,3552400896,511339456,2025-03-25,14:25:39
DOGE-USD,Dogecoin USD,0.19113337,0.008570209,4.6943803,28398157824,1622547456,148577714176,2025-03-25,14:25:39
DOT-USD,Polkadot USD,4.658296,-0.02657032,-0.56715715,7273039872,163926256,1561309056,2025-03-25,14:25:39
MATIC-USD,Polygon USD,0.21823609,0.005908981,2.782965,0,1267171,0,2025-03-25,14:25:39
LTC-USD,Litecoin USD,93.33493,-0.721817,-0.767426,7052244480,424060928,75558472,2025-03-25,14:25:39
BCH-USD,Bitcoin Cash USD,337.63837,3.1401367,0.9387568,6701101056,209312912,19846978,2025-03-25,14:25:39
LINK-USD,Chainlink USD,15.42002,0.28334427,1.8719089,10132495360,315839968,657099968,2025-03-25,14:25:39
XLM-USD,Stellar USD,0.29190502,0.0024629235,0.8509175,8984764416,163179312,30779754496,2025-03-25,14:25:39
UNI-USD,UNICORN Token USD,0.00017714222,-1.6622653e-07,-0.09375285,18938,3,106912512,2025-03-25,14:25:39
ETC-USD,Ethereum Classic USD,18.465782,0.13271713,0.7239181,2793098752,88070192,151258080,2025-03-25,14:25:39
FIL-USD,Filecoin USD,3.123432,-0.020603895,-0.6553299,2017555712,79946912,645941952,2025-03-25,14:25:39
ATOM-USD,Cosmos USD,4.8377113,-0.06809282,-1.3880031,1891226880,129784216,390934208,2025-03-25,14:25:39
VET-USD,VeChain USD,0.026430814,7.803552e-05,0.29612085,2272654592,50831168,85985042432,2025-03-25,14:25:39
HBAR-USD,Hedera USD,0.19688194,0.0042055845,2.182725,8312237056,220811792,42219401216,2025-03-25,14:25:39
ICP-USD,Internet Computer USD,6.1386824,0.10090542,1.6712314,2958293248,66927092,481910144,2025-03-25,14:25:39
EGLD-USD,MultiversX USD,19.468542,0.29505157,1.5388545,545449728,24841946,28016978,2025-03-25,14:25:39
MANA-USD,Decentraland USD,0.2811258,0.00074729323,0.26653057,546018048,43357056,1942255232,2025-03-25,14:25:39
SAND-USD,The Sandbox USD,0.30460227,0.0052605867,1.757378,755826944,54122512,2481357056,2025-03-25,14:25:39
AXS-USD,Axie Infinity USD,3.5175054,0.020552158,0.58771914,562183872,19728734,159824592,2025-03-25,14:25:39
THETA-USD,Theta Network USD,0.9823905,0.0054080486,0.55354995,982390528,14514215,1000000000,2025-03-25,14:25:39
AAVE-USD,Aave USD,187.74203,-5.0859833,-2.6375775,2833333248,169257840,15091629,2025-03-25,14:25:39
FTM-USD,Fantom USD,0.69689536,-0.004967928,-0.70781803,1953840128,46269352,2803634944,2025-03-25,14:25:39
GRT-USD,Golden Ratio Token USD,0.45430142,-0.03135559,-6.45632,0,2312535,0,2025-03-25,14:25:39
FLOW-USD,Flow USD,0.42767307,0.0029969215,0.70569456,671902592,21086262,1571065856,2025-03-25,14:25:39
KSM-USD,Kusama USD,18.382372,0.18067741,0.992649,299234944,8925529,16278363,2025-03-25,14:25:39
XTZ-USD,Tezos USD,0.7223374,0.008927166,1.2513447,748537216,17643564,1036270848,2025-03-25,14:25:39
NEO-USD,Neo USD,7.993129,-0.19887829,-2.4277122,563825984,44129780,70538832,2025-03-25,14:25:39
CHZ-USD,Chiliz USD,0.04827057,0.0008527152,1.7982987,457973888,34220156,9487642624,2025-03-25,14:25:39
CAKE-USD,PancakeSwap USD,2.5995798,-0.005661249,-0.2172981,761243904,198458464,292833440,2025-03-25,14:25:39
ZIL-USD,Zilliqa USD,0.013125697,0.00015913043,1.2272309,258496416,12461807,19693918208,2025-03-25,14:25:39
ENJ-USD,Enjin Coin USD,0.098704,0.0022133142,2.2938163,179514304,16219633,1818713472,2025-03-25,14:25:39
LRC-USD,Loopring USD,0.11184101,0.0011105612,1.0029461,152867184,17563508,1366825856,2025-03-25,14:25:39
BAT-USD,Basic Attention Token USD,0.157101,0.0033037663,2.1481302,234970992,14961238,1495668352,2025-03-25,14:25:39
DASH-USD,Dash USD,24.115128,0.050941467,0.21168686,294140384,40065028,12197339,2025-03-25,14:25:39
CRV-USD,Curve DAO Token USD,0.5073981,0.0061528683,1.2275217,662766976,99125608,1306206976,2025-03-25,14:25:39
RUNE-USD,THORChain USD,1.2541656,-0.021232724,-1.6647847,441133568,121219240,351734720,2025-03-25,14:25:39
1INCH-USD,1inch Network USD,0.21656808,0.0004117489,0.19048078,298366656,14771861,1377703680,2025-03-25,14:25:39
CELO-USD,Celo USD,0.39299458,0.008288324,2.154463,222147280,13409351,565268032,2025-03-25,14:25:39
XEM-USD,NEM USD,0.019399302,-0.0003040526,-1.5431504,174593712,15634182,8999999488,2025-03-25,14:25:39
QTUM-USD,Qtum USD,2.2416065,0.010072231,0.45135936,236658288,39174072,105575304,2025-03-25,14:25:39
