Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,87783.71,-234.92188,-0.2668992,1741788413952,30504669184,19841818,2025-03-25,13:52:18
ETH-USD,Ethereum USD,2063.1484,-13.241211,-0.637698,248901976064,11726758912,120641816,2025-03-25,13:52:18
BNB-USD,BNB USD,631.6799,-3.140747,-0.4947438,89997099008,2274371840,142472656,2025-03-25,13:52:18
XRP-USD,XRP USD,2.4308271,-0.02377224,-0.9684726,141372309504,2593201920,58158112768,2025-03-25,13:52:18
ADA-USD,Cardano USD,0.75137067,0.023139894,3.1775491,26477506560,1101433856,35238940672,2025-03-25,13:52:18
SOL-USD,Solana USD,143.934,1.5371246,1.079464,73599131648,3531209984,511339456,2025-03-25,13:52:18
DOGE-USD,Dogecoin USD,0.18946466,0.008146554,4.4929667,28150167552,1616462720,148577402880,2025-03-25,13:52:18
DOT-USD,Polkadot USD,4.6438212,-0.040362835,-0.8616783,7250416128,164003696,1561303936,2025-03-25,13:52:18
MATIC-USD,Polygon USD,0.21823609,0.005908981,2.782965,0,1267171,0,2025-03-25,13:52:18
LTC-USD,Litecoin USD,92.915215,-0.7691803,-0.8210316,7020531200,426303552,75558472,2025-03-25,13:52:18
BCH-USD,Bitcoin Cash USD,336.78534,3.9756165,1.1945606,6684171264,208016928,19846978,2025-03-25,13:52:18
LINK-USD,Chainlink USD,15.319667,0.2861519,1.9034258,10066552832,313991872,657099968,2025-03-25,13:52:18
XLM-USD,Stellar USD,0.2902946,0.0013210177,0.45714056,8935196672,161953280,30779756544,2025-03-25,13:52:18
UNI-USD,UNICORN Token USD,0.00017624746,-5.577749e-07,-0.31547734,18843,3,106912512,2025-03-25,13:52:18
ETC-USD,Ethereum Classic USD,18.35913,0.103652954,0.5677965,2776966912,86704760,151258080,2025-03-25,13:52:18
FIL-USD,Filecoin USD,3.102947,-0.019149542,-0.6133541,2004323712,80903248,645941952,2025-03-25,13:52:18
ATOM-USD,Cosmos USD,4.8181725,-0.0666976,-1.3653941,1883588352,128549112,390934208,2025-03-25,13:52:18
VET-USD,VeChain USD,0.026198404,-0.0001681596,-0.63777524,2252670976,51333132,85985042432,2025-03-25,13:52:18
HBAR-USD,Hedera USD,0.19697447,0.005397424,2.8173654,8316144128,220452704,42219401216,2025-03-25,13:52:18
ICP-USD,Internet Computer USD,6.0932035,0.06687546,1.1097136,2936376576,66592032,481910144,2025-03-25,13:52:18
